Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-Dec-2023,28-Mar-2024,22174.95,22196.00,22092.30,22155.70,22135.00,22155.70,2352.00,26048.79,56950.00,56950.00,21731.40
NIFTY,29-Dec-2023,25-Jan-2024,21924.95,21939.90,21830.00,21885.95,21861.05,21885.95,127070.00,1390586.67,12790350.00,-89700.00,21731.40
NIFTY,29-Dec-2023,29-Feb-2024,22055.65,22064.75,21965.00,22016.15,21999.95,22016.15,8187.00,90128.49,967050.00,16850.00,21731.40
NIFTY,28-Dec-2023,28-Mar-2024,-,-,-,-,-,-,-,-,-,-,-
NIFTY,28-Dec-2023,29-Feb-2024,22040.00,22091.00,22000.25,22067.20,22058.00,22067.20,11930.00,131559.03,950200.00,124450.00,21778.70
NIFTY,28-Dec-2023,25-Jan-2024,21895.10,21966.65,21861.75,21942.30,21930.05,21942.30,160214.00,1756418.29,12880050.00,2294800.00,21778.70
NIFTY,28-Dec-2023,28-Dec-2023,21722.10,21791.00,21687.70,21774.70,21781.00,21778.70,135417.00,1473042.49,3557950.00,-2666650.00,21778.70
NIFTY,27-Dec-2023,28-Dec-2023,21510.00,21708.35,21507.65,21681.80,21690.00,21681.80,141482.00,1527614.15,6224600.00,-1388700.00,21654.75
NIFTY,27-Dec-2023,25-Jan-2024,21690.25,21879.10,21680.20,21854.10,21862.00,21854.10,132684.00,1444068.54,10585250.00,3289000.00,21654.75
NIFTY,27-Dec-2023,29-Feb-2024,21820.00,22010.25,21807.90,21986.95,21999.00,21986.95,11937.00,130697.13,825750.00,146500.00,21654.75
NIFTY,26-Dec-2023,25-Jan-2024,21561.55,21690.00,21520.05,21633.10,21660.00,21633.10,89689.00,970314.23,7296250.00,2961250.00,-
NIFTY,26-Dec-2023,28-Dec-2023,21409.00,21531.90,21362.60,21472.30,21499.15,21472.30,131234.00,1408994.10,7613300.00,-2420900.00,-
