Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Dec-2024,27-Mar-2025,24051.00,24151.50,23904.25,24094.00,24106.50,24094.00,1574.00,28361.58,112950.00,35550.00,23644.80
NIFTY,31-Dec-2024,27-Feb-2025,23867.25,24000.00,23750.00,23952.85,23964.75,23952.85,4478.00,80158.75,1022475.00,40575.00,23644.80
NIFTY,31-Dec-2024,30-Jan-2025,23700.00,23857.75,23602.00,23805.85,23819.45,23805.85,206098.00,1222922.59,13291200.00,917700.00,23644.80
NIFTY,30-Dec-2024,27-Mar-2025,24205.75,24358.00,24080.00,24116.00,24126.20,24116.00,1707.00,30973.83,77400.00,42225.00,23644.90
NIFTY,30-Dec-2024,27-Feb-2025,24086.10,24212.65,23915.25,23962.30,23983.00,23962.30,4876.00,87891.01,981900.00,40200.00,23644.90
NIFTY,30-Dec-2024,30-Jan-2025,23971.70,24079.70,23771.50,23816.70,23828.00,23816.70,229984.00,1374085.01,12373500.00,678250.00,23644.90
NIFTY,27-Dec-2024,27-Feb-2025,24089.00,24259.00,24088.95,24132.60,24146.85,24132.60,3489.00,63264.85,941700.00,16800.00,23813.40
NIFTY,27-Dec-2024,27-Mar-2025,24239.90,24396.45,24239.90,24275.45,24293.70,24275.45,1110.00,20249.13,35175.00,35175.00,23813.40
NIFTY,27-Dec-2024,30-Jan-2025,23940.00,24127.95,23925.00,23992.65,24000.00,23992.65,197296.00,1185758.95,11695250.00,532500.00,23813.40
NIFTY,26-Dec-2024,30-Jan-2025,23985.00,24026.50,23809.50,23919.75,23923.95,23919.75,245279.00,1467211.08,11162750.00,3324550.00,23750.20
NIFTY,26-Dec-2024,26-Dec-2024,23806.40,23869.00,23633.30,23748.70,23748.75,23750.20,215926.00,1282554.64,3477450.00,-2244325.00,23750.20
NIFTY,26-Dec-2024,27-Feb-2025,24105.10,24166.90,23960.20,24066.65,24070.00,24066.65,4670.00,84333.62,924900.00,137700.00,23750.20
NIFTY,24-Dec-2024,27-Feb-2025,24086.65,24181.90,24017.60,24073.85,24084.20,24073.85,3480.00,62909.02,787200.00,129975.00,23727.65
NIFTY,24-Dec-2024,30-Jan-2025,23950.00,24041.50,23878.60,23929.25,23938.45,23929.25,220661.00,1321875.01,7838200.00,3397775.00,23727.65
NIFTY,24-Dec-2024,26-Dec-2024,23765.95,23879.85,23716.00,23770.60,23772.15,23770.60,247554.00,1473182.12,5721775.00,-3496150.00,23727.65
NIFTY,23-Dec-2024,26-Dec-2024,23725.05,23901.80,23664.10,23769.75,23768.00,23769.75,231423.00,1375979.39,9217925.00,-1281225.00,23753.45
NIFTY,23-Dec-2024,30-Jan-2025,23855.75,24074.50,23840.00,23941.50,23936.05,23941.50,107865.00,645820.10,4440425.00,924225.00,23753.45
NIFTY,23-Dec-2024,27-Feb-2025,24060.00,24200.00,23980.00,24080.80,24075.00,24080.80,3976.00,71815.85,657225.00,56700.00,23753.45
NIFTY,20-Dec-2024,26-Dec-2024,23994.00,24097.95,23575.00,23625.65,23641.70,23625.65,309504.00,1844163.02,10499150.00,-236050.00,-
NIFTY,20-Dec-2024,30-Jan-2025,24200.00,24285.10,23750.00,23793.40,23806.40,23793.40,110549.00,662950.81,3516200.00,890525.00,-
NIFTY,20-Dec-2024,27-Feb-2025,24346.00,24425.00,23900.00,23940.50,23960.00,23940.50,4767.00,86358.27,600525.00,91425.00,-
NIFTY,19-Dec-2024,27-Feb-2025,24370.00,24400.00,24272.85,24356.00,24350.35,24356.00,2948.00,53819.74,509100.00,66000.00,23951.70
NIFTY,19-Dec-2024,30-Jan-2025,24242.00,24244.70,24120.00,24204.45,24205.00,24204.45,52457.00,317209.79,2625675.00,451400.00,23951.70
NIFTY,19-Dec-2024,26-Dec-2024,24100.00,24100.00,23920.60,24018.80,24021.50,24018.80,193063.00,1158158.08,10735200.00,-213075.00,23951.70
NIFTY,18-Dec-2024,26-Dec-2024,24369.85,24463.30,24216.25,24257.35,24268.00,24257.35,222484.00,1352100.36,10948275.00,-117250.00,24198.85
NIFTY,18-Dec-2024,30-Jan-2025,24580.05,24647.00,24405.00,24441.20,24449.80,24441.20,39409.00,241235.99,2174275.00,251200.00,24198.85
NIFTY,18-Dec-2024,27-Feb-2025,24710.90,24793.05,24560.00,24592.25,24606.65,24592.25,2488.00,45974.93,443100.00,55500.00,24198.85
NIFTY,17-Dec-2024,30-Jan-2025,24899.85,24899.85,24575.00,24608.20,24585.90,24608.20,45466.00,280611.59,1923075.00,319975.00,-
NIFTY,17-Dec-2024,26-Dec-2024,24669.65,24695.00,24380.00,24417.65,24401.00,24417.65,317746.00,1945869.40,11065525.00,188400.00,-
NIFTY,17-Dec-2024,27-Feb-2025,25005.05,25030.30,24729.00,24759.10,24739.25,24759.10,2937.00,54711.82,387600.00,98250.00,-
NIFTY,16-Dec-2024,26-Dec-2024,24800.00,24833.00,24660.15,24738.50,24720.15,24738.50,184270.00,1139732.26,10877125.00,20750.00,-
NIFTY,16-Dec-2024,30-Jan-2025,24950.00,25025.00,24856.00,24921.55,24910.00,24921.55,24176.00,150661.59,1603100.00,119725.00,-
NIFTY,16-Dec-2024,27-Feb-2025,25108.05,25150.80,25008.00,25068.45,25065.00,25068.45,1604.00,30163.27,289350.00,33975.00,-
NIFTY,13-Dec-2024,27-Feb-2025,24900.75,25185.75,24580.00,25135.30,25180.00,25135.30,4481.00,83699.72,255375.00,19350.00,-
NIFTY,13-Dec-2024,30-Jan-2025,24807.40,25043.10,24424.80,25006.70,25035.50,25006.70,54965.00,340114.62,1483375.00,27275.00,-
NIFTY,13-Dec-2024,26-Dec-2024,24593.90,24869.00,24231.00,24830.75,24860.00,24830.75,476778.00,2926972.78,10856375.00,-259250.00,-
NIFTY,12-Dec-2024,27-Feb-2025,25045.10,25081.00,24960.10,24980.70,24980.00,24980.70,739.00,13855.13,236025.00,22200.00,24548.70
NIFTY,12-Dec-2024,30-Jan-2025,24912.55,24937.70,24807.40,24829.30,24829.30,24829.30,10979.00,68217.76,1456100.00,58575.00,24548.70
NIFTY,12-Dec-2024,26-Dec-2024,24721.95,24797.90,24628.00,24648.55,24647.00,24648.55,141665.00,873901.69,11115625.00,-32600.00,24548.70
NIFTY,11-Dec-2024,30-Jan-2025,24865.05,24960.00,24840.95,24909.75,24912.50,24909.75,10644.00,66297.18,1397525.00,48575.00,-
NIFTY,11-Dec-2024,27-Feb-2025,25013.95,25097.95,25000.00,25050.70,25046.05,25050.70,626.00,11762.76,213825.00,3300.00,-
NIFTY,11-Dec-2024,26-Dec-2024,24679.90,24798.80,24666.35,24734.90,24738.00,24734.90,156896.00,970430.70,11148225.00,-83575.00,-
NIFTY,10-Dec-2024,30-Jan-2025,24870.15,24935.00,24775.00,24856.65,24865.00,24856.65,11815.00,73404.85,1348950.00,44225.00,-
NIFTY,10-Dec-2024,26-Dec-2024,24709.00,24769.00,24595.25,24682.60,24684.00,24682.60,161120.00,993926.44,11231800.00,-48975.00,-
NIFTY,10-Dec-2024,27-Feb-2025,25022.00,25065.05,24925.00,25005.15,25015.00,25005.15,985.00,18468.60,210525.00,21675.00,-
NIFTY,09-Dec-2024,27-Feb-2025,25090.00,25090.05,24970.00,25011.30,25019.40,25011.30,960.00,18017.62,188850.00,22650.00,24619.00
NIFTY,09-Dec-2024,30-Jan-2025,24901.15,24944.45,24830.00,24865.15,24873.00,24865.15,12538.00,77986.92,1304725.00,29575.00,24619.00
NIFTY,09-Dec-2024,26-Dec-2024,24763.95,24780.00,24651.70,24694.60,24698.60,24694.60,143604.00,887300.20,11280775.00,-77100.00,24619.00
NIFTY,06-Dec-2024,26-Dec-2024,24760.00,24844.90,24700.00,24783.25,24775.00,24783.25,175511.00,1087474.41,11357875.00,183475.00,-
NIFTY,06-Dec-2024,30-Jan-2025,24927.35,25011.75,24866.20,24951.10,24949.00,24951.10,17931.00,111839.09,1275150.00,92725.00,-
NIFTY,06-Dec-2024,27-Feb-2025,25034.50,25130.00,25010.00,25089.60,25090.00,25089.60,1320.00,24840.50,166200.00,23325.00,-
NIFTY,05-Dec-2024,26-Dec-2024,24597.00,24930.00,24396.00,24764.35,24775.35,24764.35,498720.00,3078866.77,11174400.00,-376650.00,-
NIFTY,05-Dec-2024,30-Jan-2025,24680.65,25085.00,24566.95,24929.75,24936.05,24929.75,39951.00,248281.55,1182425.00,24375.00,-
NIFTY,05-Dec-2024,27-Feb-2025,24880.95,25223.20,24708.90,25061.45,25070.00,25061.45,3604.00,67513.70,142875.00,17400.00,-
NIFTY,04-Dec-2024,27-Feb-2025,24856.50,24947.80,24747.75,24862.75,24868.00,24862.75,1605.00,29942.57,125475.00,23475.00,-
NIFTY,04-Dec-2024,30-Jan-2025,24710.00,24814.00,24602.00,24721.80,24725.00,24721.80,20560.00,127112.89,1158050.00,59925.00,-
NIFTY,04-Dec-2024,26-Dec-2024,24549.85,24660.00,24440.00,24561.70,24563.00,24561.70,237415.00,1458211.92,11551050.00,-84225.00,-
NIFTY,03-Dec-2024,26-Dec-2024,24451.05,24590.00,24390.00,24547.00,24534.00,24547.00,204483.00,1253501.91,11635275.00,-155225.00,-
NIFTY,03-Dec-2024,30-Jan-2025,24574.00,24745.00,24510.00,24707.10,24695.00,24707.10,16363.00,100941.68,1098125.00,9900.00,-
NIFTY,03-Dec-2024,27-Feb-2025,24691.00,24883.35,24691.00,24852.25,24833.00,24852.25,1551.00,28871.89,102000.00,34950.00,-
NIFTY,02-Dec-2024,30-Jan-2025,24400.00,24631.00,24330.05,24585.10,24583.00,24585.10,17548.00,107439.47,1088225.00,13475.00,-
NIFTY,02-Dec-2024,26-Dec-2024,24300.00,24474.90,24168.00,24428.50,24429.00,24428.50,229734.00,1397514.32,11790500.00,423750.00,-
NIFTY,02-Dec-2024,27-Feb-2025,24606.00,24750.00,24470.55,24718.70,24720.00,24718.70,1210.00,22341.97,67050.00,20925.00,-
NIFTY,29-Nov-2024,27-Feb-2025,24403.40,24640.00,24387.00,24596.40,24610.00,24596.40,1346.00,24744.66,46125.00,46125.00,24131.10
