feature,n_overall,corr_overall,corr_agree,n_agree,corr_disagree,n_disagree,corr_neutral,n_neutral
NIFTY_prev_return,163,-0.44336293288864664,-0.5364852864576074,78,-0.47428581868244596,44,-0.0906984745446617,41
SKEW_14D_prev,163,-0.20474743529450812,-0.16211279502969494,78,-0.41611897960322747,44,-0.10522681699707259,41
Smile_Curv_7D_prev,163,0.20046429324427292,0.23955946577944556,78,0.11592112685075817,44,0.25826177804821465,41
Smile_Skew_14D_prev,163,0.19662722308895672,0.16464167419271125,78,0.4186295074566539,44,0.06862909425317688,41
US_SP500_prev_return,156,-0.1949613925733382,-0.37136357200055903,76,0.19494152876617804,41,-0.18828017297350685,39
Smile_Curv_14D_prev,163,0.18094501018206505,0.17854489331435822,78,0.12833310824904084,44,0.3192275222101849,41
US_VIX_prev_chg1d,163,0.16130415568895637,0.337329124886722,78,-0.238899208985222,44,0.1849035387110328,41
Smile_Curv_30D_prev,163,0.15972966777668213,0.2380302422791708,78,0.06066688837441152,44,0.17353911336606978,41
Smile_Skew_30D_prev,163,0.13493523413427289,0.08214106872689537,78,0.3016820918360934,44,0.13414113716863696,41
SKEW_30D_prev,163,-0.13437828877619618,-0.12090176945196973,78,-0.30705438393470896,44,-0.05159059152388434,41
India_VIX_prev_close,163,-0.10817851343709463,-0.04518946762761795,78,-0.27359100297868677,44,-0.22176307599995992,41
India_VIX_prev_chg1d,163,0.1047418033930957,0.17180556056019491,78,0.17869297478685223,44,-0.026404222876177785,41
Smile_Skew_7D_prev,163,0.10239947727207749,0.02180671780639159,78,0.434020611690219,44,-0.080692577549457,41
US_VIX_prev_close,163,-0.01348407433516741,0.14750422318377018,78,-0.3235461882444397,44,-0.10147976650344759,41
