Date,year,strategy,position,strike,pnl,iv_direction_correct
2022-07-11,2022,data_driven,SHORT_CALENDAR,16200.0,1240.0000000000005,True
2022-08-04,2022,data_driven,LONG_CALENDAR,17400.0,427.4999999999977,True
2022-08-29,2022,data_driven,LONG_CALENDAR,17300.0,3552.499999999999,True
2022-09-14,2022,data_driven,LONG_CALENDAR,18000.0,1494.9999999999989,True
2022-09-21,2022,data_driven,SHORT_CALENDAR,17700.0,1337.5000000000014,True
2022-09-26,2022,data_driven,LONG_CALENDAR,17000.0,827.500000000002,True
2022-09-29,2022,data_driven,LONG_CALENDAR,16800.0,45.000000000000284,False
2022-09-30,2022,data_driven,SHORT_CALENDAR,17100.0,-840.0000000000034,True
2022-10-07,2022,data_driven,LONG_CALENDAR,17300.0,377.4999999999977,False
2022-10-31,2022,data_driven,SHORT_CALENDAR,18000.0,-1189.9999999999998,True
2022-12-07,2022,data_driven,LONG_CALENDAR,18550.0,2527.5,True
2023-01-11,2023,data_driven,LONG_CALENDAR,17900.0,2127.5,True
2023-02-15,2023,data_driven,SHORT_CALENDAR,18000.0,-967.4999999999998,True
2023-03-10,2023,data_driven,LONG_CALENDAR,17400.0,1855.0000000000025,True
2023-03-17,2023,data_driven,SHORT_CALENDAR,17100.0,-1037.4999999999993,True
2023-03-20,2023,data_driven,LONG_CALENDAR,17000.0,3170.000000000001,True
2023-03-21,2023,data_driven,SHORT_CALENDAR,17100.0,839.9999999999991,True
2023-04-26,2023,data_driven,SHORT_CALENDAR,17800.0,757.5000000000008,False
2023-04-28,2023,data_driven,SHORT_CALENDAR,18050.0,-760.0000000000001,True
2023-05-03,2023,data_driven,LONG_CALENDAR,18100.0,2617.500000000001,True
2023-05-05,2023,data_driven,LONG_CALENDAR,18050.0,682.500000000001,True
2023-08-03,2023,data_driven,LONG_CALENDAR,19400.0,262.4999999999986,False
2023-08-28,2023,data_driven,SHORT_CALENDAR,19300.0,-812.5000000000007,False
2023-09-22,2023,data_driven,LONG_CALENDAR,19650.0,2699.999999999999,True
2023-09-27,2023,data_driven,LONG_CALENDAR,19700.0,1217.499999999999,True
2023-10-04,2023,data_driven,LONG_CALENDAR,19450.0,-852.4999999999991,False
2023-10-16,2023,data_driven,LONG_CALENDAR,19750.0,-159.99999999999943,True
2023-10-17,2023,data_driven,SHORT_CALENDAR,19800.0,362.50000000000034,True
2023-10-19,2023,data_driven,LONG_CALENDAR,19600.0,1699.9999999999993,False
2023-10-20,2023,data_driven,LONG_CALENDAR,19550.0,1219.9999999999995,False
2023-10-25,2023,data_driven,LONG_CALENDAR,19100.0,7545.000000000002,True
2023-10-31,2023,data_driven,LONG_CALENDAR,19100.0,335.00000000000085,True
2023-11-01,2023,data_driven,LONG_CALENDAR,19000.0,1259.9999999999995,True
2024-02-14,2024,data_driven,SHORT_CALENDAR,21850.0,-2290.0,False
2024-02-15,2024,data_driven,SHORT_CALENDAR,21900.0,922.5000000000001,True
2024-04-05,2024,data_driven,SHORT_CALENDAR,22500.0,-522.5000000000005,False
2024-04-16,2024,data_driven,LONG_CALENDAR,22150.0,2533.7499999999995,True
2024-04-23,2024,data_driven,SHORT_CALENDAR,22350.0,428.74999999999943,True
2024-05-30,2024,data_driven,LONG_CALENDAR,22500.0,718.7500000000014,False
2024-07-19,2024,data_driven,LONG_CALENDAR,24550.0,4748.75,True
2024-07-23,2024,data_driven,LONG_CALENDAR,24500.0,514.9999999999999,False
2024-07-25,2024,data_driven,LONG_CALENDAR,24400.0,477.5000000000002,True
2024-08-02,2024,data_driven,LONG_CALENDAR,24700.0,-445.0000000000003,True
2024-08-05,2024,data_driven,LONG_CALENDAR,24050.0,1219.9999999999989,True
2024-08-06,2024,data_driven,LONG_CALENDAR,24000.0,-1057.5000000000018,False
2024-08-07,2024,data_driven,SHORT_CALENDAR,24300.0,-736.2499999999993,True
2024-08-09,2024,data_driven,LONG_CALENDAR,24350.0,206.25,False
2024-08-12,2024,data_driven,LONG_CALENDAR,24350.0,265.00000000000057,False
2024-08-14,2024,data_driven,SHORT_CALENDAR,24150.0,69.99999999999957,True
2024-08-26,2024,data_driven,SHORT_CALENDAR,25000.0,-438.74999999999955,False
2024-08-29,2024,data_driven,LONG_CALENDAR,25150.0,216.25000000000085,False
2024-09-04,2024,data_driven,LONG_CALENDAR,25200.0,306.24999999999966,True
2024-09-06,2024,data_driven,LONG_CALENDAR,24850.0,3213.7500000000005,True
2024-09-09,2024,data_driven,LONG_CALENDAR,24950.0,261.25000000000006,False
2024-09-10,2024,data_driven,SHORT_CALENDAR,25050.0,-267.50000000000006,True
2024-09-12,2024,data_driven,SHORT_CALENDAR,25400.0,-5816.249999999999,True
2024-09-20,2024,data_driven,SHORT_CALENDAR,25800.0,4011.2500000000005,False
2024-10-04,2024,data_driven,LONG_CALENDAR,25000.0,-263.7500000000017,True
2024-10-08,2024,data_driven,SHORT_CALENDAR,25000.0,-642.5000000000005,False
2024-11-01,2024,data_driven,LONG_CALENDAR,24300.0,243.75,True
2024-11-06,2024,data_driven,SHORT_CALENDAR,24500.0,-3761.2500000000005,True
2024-11-25,2024,data_driven,SHORT_CALENDAR,24200.0,-1901.25,True
2024-12-19,2024,data_driven,LONG_CALENDAR,23950.0,-1397.4999999999995,True
2024-12-26,2024,data_driven,SHORT_CALENDAR,23750.0,-36.250000000000426,False
2024-12-31,2024,data_driven,LONG_CALENDAR,23650.0,126.25000000000028,True
2025-01-06,2025,data_driven,LONG_CALENDAR,23600.0,5575.000000000001,True
2025-01-08,2025,data_driven,LONG_CALENDAR,23700.0,1237.5,False
2025-01-16,2025,data_driven,SHORT_CALENDAR,23300.0,-502.4999999999999,False
2025-01-28,2025,data_driven,LONG_CALENDAR,22950.0,208.74999999999986,True
2025-01-29,2025,data_driven,SHORT_CALENDAR,23150.0,-372.5000000000001,False
2025-02-05,2025,data_driven,SHORT_CALENDAR,23700.0,-426.2500000000003,True
2025-02-06,2025,data_driven,LONG_CALENDAR,23600.0,244.99999999999886,True
2025-02-24,2025,data_driven,LONG_CALENDAR,22550.0,152.49999999999915,False
2025-02-28,2025,data_driven,LONG_CALENDAR,22100.0,1691.249999999998,True
2025-03-03,2025,data_driven,LONG_CALENDAR,22100.0,1137.5,False
2025-03-04,2025,data_driven,LONG_CALENDAR,22100.0,731.2499999999997,False
2025-03-06,2025,data_driven,SHORT_CALENDAR,22550.0,392.50000000000114,False
2025-03-11,2025,data_driven,LONG_CALENDAR,22500.0,901.2499999999999,False
2025-03-13,2025,data_driven,LONG_CALENDAR,22400.0,875.0000000000007,False
2025-03-17,2025,data_driven,SHORT_CALENDAR,22500.0,-1130.0000000000005,False
2025-03-20,2025,data_driven,SHORT_CALENDAR,23200.0,-1815.0000000000005,True
2025-03-25,2025,data_driven,LONG_CALENDAR,23650.0,32.49999999999886,True
2025-04-04,2025,data_driven,LONG_CALENDAR,22900.0,4986.25,False
2025-04-09,2025,data_driven,LONG_CALENDAR,22400.0,552.500000000002,True
2025-04-11,2025,data_driven,SHORT_CALENDAR,22850.0,1076.2500000000002,True
2025-04-17,2025,data_driven,SHORT_CALENDAR,23850.0,-6306.25,True
2025-04-21,2025,data_driven,SHORT_CALENDAR,24150.0,-4677.5,False
2025-04-22,2025,data_driven,SHORT_CALENDAR,24150.0,592.5000000000001,False
2025-04-28,2025,data_driven,SHORT_CALENDAR,24350.0,-2584.9999999999995,True
2025-05-05,2025,data_driven,SHORT_CALENDAR,24450.0,-1303.7500000000002,True
2025-05-13,2025,data_driven,LONG_CALENDAR,24600.0,5127.5,False
2025-05-22,2025,data_driven,LONG_CALENDAR,24600.0,2690.0,False
2025-05-26,2025,data_driven,SHORT_CALENDAR,25000.0,-358.75000000000057,False
2025-05-27,2025,data_driven,LONG_CALENDAR,24850.0,1174.999999999998,True
2025-05-28,2025,data_driven,LONG_CALENDAR,24750.0,1336.2499999999975,False
2025-06-09,2025,data_driven,SHORT_CALENDAR,25100.0,-539.9999999999991,False
2025-06-16,2025,data_driven,LONG_CALENDAR,24950.0,-1162.5,True
2025-06-18,2025,data_driven,LONG_CALENDAR,24800.0,487.4999999999993,True
2025-06-19,2025,data_driven,LONG_CALENDAR,24800.0,119.99999999999957,False
2025-06-20,2025,data_driven,SHORT_CALENDAR,25100.0,-2483.7500000000005,True
2025-06-23,2025,data_driven,LONG_CALENDAR,24950.0,1337.5,True
2025-06-25,2025,data_driven,SHORT_CALENDAR,25250.0,-1547.5000000000002,True
2022-07-11,2022,manual_agree,SHORT_CALENDAR,16200.0,1240.0000000000005,True
2022-08-29,2022,manual_agree,LONG_CALENDAR,17300.0,3552.499999999999,True
2022-09-14,2022,manual_agree,LONG_CALENDAR,18000.0,1494.9999999999989,True
2022-09-26,2022,manual_agree,LONG_CALENDAR,17000.0,827.500000000002,True
2022-10-31,2022,manual_agree,SHORT_CALENDAR,18000.0,-1189.9999999999998,True
2022-12-07,2022,manual_agree,LONG_CALENDAR,18550.0,2527.5,True
2023-02-15,2023,manual_agree,SHORT_CALENDAR,18000.0,-967.4999999999998,True
2023-03-10,2023,manual_agree,LONG_CALENDAR,17400.0,1855.0000000000025,True
2023-03-17,2023,manual_agree,SHORT_CALENDAR,17100.0,-1037.4999999999993,True
2023-03-20,2023,manual_agree,LONG_CALENDAR,17000.0,3170.000000000001,True
2023-03-21,2023,manual_agree,SHORT_CALENDAR,17100.0,839.9999999999991,True
2023-04-28,2023,manual_agree,SHORT_CALENDAR,18050.0,-760.0000000000001,True
2023-08-03,2023,manual_agree,LONG_CALENDAR,19400.0,262.4999999999986,False
2023-09-22,2023,manual_agree,LONG_CALENDAR,19650.0,2699.999999999999,True
2023-10-04,2023,manual_agree,LONG_CALENDAR,19450.0,-852.4999999999991,False
2023-10-17,2023,manual_agree,SHORT_CALENDAR,19800.0,362.50000000000034,True
2023-10-20,2023,manual_agree,LONG_CALENDAR,19550.0,1219.9999999999995,False
2024-04-16,2024,manual_agree,LONG_CALENDAR,22150.0,2533.7499999999995,True
2024-05-30,2024,manual_agree,LONG_CALENDAR,22500.0,718.7500000000014,False
2024-07-19,2024,manual_agree,LONG_CALENDAR,24550.0,4748.75,True
2024-08-02,2024,manual_agree,LONG_CALENDAR,24700.0,-445.0000000000003,True
2024-08-05,2024,manual_agree,LONG_CALENDAR,24050.0,1219.9999999999989,True
2024-08-07,2024,manual_agree,SHORT_CALENDAR,24300.0,-736.2499999999993,True
