Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Sep-2021,28-Oct-2021,17719.00,17757.75,17604.00,17623.15,17611.40,17623.15,181648.00,1605435.75,11652000.00,3240200.00,-
NIFTY,30-Sep-2021,25-Nov-2021,17780.00,17787.00,17637.00,17656.85,17643.95,17656.85,7038.00,62291.79,555500.00,103850.00,-
NIFTY,30-Sep-2021,30-Sep-2021,17697.30,17740.20,17580.50,17621.75,17619.10,17618.15,178284.00,1574875.08,4073300.00,-2416350.00,-
NIFTY,30-Sep-2021,30-Dec-2021,-,-,-,-,-,-,-,-,-,-,-
NIFTY,29-Sep-2021,25-Nov-2021,17670.00,17850.00,17670.00,17773.20,17775.00,17773.20,4207.00,37323.16,451650.00,30500.00,17711.30
NIFTY,29-Sep-2021,28-Oct-2021,17700.00,17812.25,17640.20,17732.60,17741.00,17732.60,120864.00,1070361.75,8411800.00,2573500.00,17711.30
NIFTY,29-Sep-2021,30-Sep-2021,17669.00,17794.05,17613.05,17708.00,17710.35,17708.00,178263.00,1576646.81,6489650.00,-2576050.00,17711.30
NIFTY,28-Sep-2021,30-Sep-2021,17880.05,17903.90,17586.25,17748.20,17730.50,17748.20,240192.00,2129181.16,9065700.00,-1955950.00,-
NIFTY,28-Sep-2021,25-Nov-2021,17782.05,17987.75,17667.60,17814.50,17805.00,17814.50,5916.00,52641.36,421150.00,17750.00,-
NIFTY,28-Sep-2021,28-Oct-2021,17923.85,17939.45,17619.90,17776.70,17760.95,17776.70,103327.00,917095.67,5838300.00,1824800.00,-
NIFTY,27-Sep-2021,28-Oct-2021,17932.00,17975.20,17852.00,17892.55,17901.50,17892.55,44948.00,402467.33,4013500.00,1142350.00,-
NIFTY,27-Sep-2021,30-Sep-2021,18088.30,18088.30,17806.00,17856.75,17862.00,17856.75,126395.00,1129649.60,11021650.00,-1038200.00,-
NIFTY,27-Sep-2021,25-Nov-2021,17975.00,17998.90,17882.65,17921.65,17931.00,17921.65,2763.00,24785.14,403400.00,14850.00,-
NIFTY,24-Sep-2021,25-Nov-2021,17975.60,17989.95,17880.00,17907.80,17901.00,17907.80,3087.00,27689.80,388550.00,23500.00,17853.20
NIFTY,24-Sep-2021,28-Oct-2021,17900.00,17968.00,17852.00,17882.10,17879.20,17882.10,28831.00,258213.90,2871150.00,457450.00,17853.20
NIFTY,24-Sep-2021,30-Sep-2021,17894.95,17935.00,17820.00,17853.60,17848.80,17853.60,125636.00,1122857.53,12059850.00,-253350.00,17853.20
NIFTY,23-Sep-2021,30-Sep-2021,17661.35,17845.45,17635.10,17833.10,17842.00,17833.10,127580.00,1132730.45,12313200.00,-361500.00,-
NIFTY,23-Sep-2021,28-Oct-2021,17650.00,17872.00,17649.95,17859.80,17869.10,17859.80,26679.00,237206.11,2413700.00,608050.00,-
NIFTY,23-Sep-2021,25-Nov-2021,17705.05,17899.00,17700.05,17887.65,17895.35,17887.65,3779.00,33641.98,365050.00,38700.00,-
NIFTY,22-Sep-2021,30-Sep-2021,17554.00,17618.45,17521.00,17568.50,17567.00,17568.50,111622.00,980678.78,12674700.00,-181500.00,-
NIFTY,22-Sep-2021,28-Oct-2021,17595.00,17644.55,17557.00,17602.25,17604.25,17602.25,14691.00,129334.03,1805650.00,231350.00,-
NIFTY,22-Sep-2021,25-Nov-2021,17641.15,17674.80,17590.00,17631.75,17633.70,17631.75,1563.00,13784.71,326350.00,21050.00,-
NIFTY,21-Sep-2021,25-Nov-2021,17435.50,17631.00,17404.25,17622.75,17625.00,17622.75,3907.00,34248.10,305300.00,55550.00,-
NIFTY,21-Sep-2021,28-Oct-2021,17378.00,17599.05,17370.00,17590.10,17595.00,17590.10,17834.00,155880.50,1574300.00,99200.00,-
NIFTY,21-Sep-2021,30-Sep-2021,17378.00,17569.55,17335.50,17559.30,17562.05,17559.30,189312.00,1651808.89,12856200.00,-740700.00,-
NIFTY,20-Sep-2021,30-Sep-2021,17460.25,17618.20,17355.00,17386.65,17355.80,17386.65,198297.00,1733619.77,13596900.00,-853000.00,-
NIFTY,20-Sep-2021,28-Oct-2021,17494.80,17645.65,17390.00,17419.65,17394.90,17419.65,19163.00,167879.35,1475100.00,69350.00,-
NIFTY,20-Sep-2021,25-Nov-2021,17540.00,17671.95,17425.00,17454.35,17425.00,17454.35,2768.00,24285.27,249750.00,19050.00,-
