Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-Sep-2023,28-Dec-2023,19875.70,20009.55,19843.80,19935.80,19943.00,19935.80,2776.00,27671.49,75100.00,75100.00,19638.30
NIFTY,29-Sep-2023,26-Oct-2023,19675.00,19794.00,19638.00,19709.00,19714.00,19709.00,145026.00,1430132.97,9381000.00,-314000.00,19638.30
NIFTY,29-Sep-2023,30-Nov-2023,19800.00,19903.00,19760.00,19826.60,19837.10,19826.60,5882.00,58341.76,742250.00,-16750.00,19638.30
NIFTY,28-Sep-2023,30-Nov-2023,19935.00,19964.10,19737.35,19761.45,19771.00,19761.45,7595.00,75316.30,759000.00,112450.00,19523.55
NIFTY,28-Sep-2023,26-Oct-2023,19860.70,19860.70,19610.10,19637.10,19655.00,19637.10,184346.00,1815900.50,9695000.00,2896150.00,19523.55
NIFTY,28-Sep-2023,28-Sep-2023,19742.50,19747.05,19501.00,19522.95,19522.95,19523.55,131488.00,1289193.05,3301100.00,-1434950.00,19523.55
NIFTY,27-Sep-2023,26-Oct-2023,19749.80,19852.00,19661.20,19828.90,19839.00,19828.90,88887.00,878715.54,6798850.00,1681400.00,19716.45
NIFTY,27-Sep-2023,30-Nov-2023,19864.00,19968.75,19790.00,19949.95,19955.00,19949.95,5702.00,56660.87,646550.00,22250.00,19716.45
NIFTY,27-Sep-2023,28-Sep-2023,19634.90,19743.00,19543.10,19719.05,19719.65,19719.05,116186.00,1141753.52,4736050.00,-1593650.00,19716.45
NIFTY,26-Sep-2023,26-Oct-2023,19839.95,19842.80,19761.00,19793.55,19787.00,19793.55,51900.00,513781.12,5117450.00,1621700.00,-
NIFTY,26-Sep-2023,28-Sep-2023,19679.00,19719.80,19640.95,19677.05,19666.00,19677.05,78080.00,768344.79,6329700.00,-1411300.00,-
NIFTY,26-Sep-2023,30-Nov-2023,19923.75,19955.00,19888.00,19916.50,19911.35,19916.50,2437.00,24273.46,624300.00,24750.00,-
NIFTY,25-Sep-2023,30-Nov-2023,19940.00,20000.00,19884.00,19942.75,19940.90,19942.75,4283.00,42683.75,599550.00,42150.00,19674.55
NIFTY,25-Sep-2023,26-Oct-2023,19828.10,19884.70,19755.00,19820.35,19823.00,19820.35,50356.00,498633.62,3495750.00,1253550.00,19674.55
NIFTY,25-Sep-2023,28-Sep-2023,19722.25,19763.00,19626.25,19700.50,19704.75,19700.50,124504.00,1225664.78,7741000.00,-914250.00,19674.55
NIFTY,22-Sep-2023,28-Sep-2023,19750.85,19825.00,19690.55,19708.25,19705.00,19708.25,113657.00,1122442.32,8655250.00,-385850.00,19674.25
NIFTY,22-Sep-2023,26-Oct-2023,19897.00,19941.35,19807.00,19822.65,19823.00,19822.65,26350.00,261739.61,2242200.00,377800.00,19674.25
NIFTY,22-Sep-2023,30-Nov-2023,19999.95,20060.00,19936.95,19948.65,19944.00,19948.65,4435.00,44331.99,557400.00,53750.00,19674.25
NIFTY,21-Sep-2023,28-Sep-2023,19895.00,19895.00,19745.00,19778.70,19769.05,19778.70,166836.00,1651435.12,9041100.00,-532250.00,19742.35
NIFTY,21-Sep-2023,26-Oct-2023,19994.05,20039.25,19871.60,19897.10,19890.00,19897.10,29167.00,290432.71,1864400.00,505400.00,19742.35
NIFTY,21-Sep-2023,30-Nov-2023,20145.20,20160.00,19995.05,20020.80,20012.00,20020.80,4172.00,41810.45,503650.00,50600.00,19742.35
NIFTY,20-Sep-2023,30-Nov-2023,20319.60,20349.60,20173.40,20205.60,20200.00,20205.60,4008.00,40582.45,453050.00,56550.00,19901.40
NIFTY,20-Sep-2023,26-Oct-2023,20185.55,20210.00,20051.00,20087.75,20086.80,20087.75,18383.00,185050.38,1359000.00,197000.00,19901.40
NIFTY,20-Sep-2023,28-Sep-2023,20050.00,20160.00,19931.00,19972.05,19972.35,19972.05,135076.00,1352005.29,9573350.00,-1188650.00,19901.40
NIFTY,18-Sep-2023,28-Sep-2023,20205.00,20234.50,20162.30,20178.85,20170.00,20178.85,67382.00,680578.70,10762000.00,-229300.00,20133.30
NIFTY,18-Sep-2023,26-Oct-2023,20319.75,20336.00,20272.00,20286.45,20280.00,20286.45,5952.00,60434.93,1162000.00,27750.00,20133.30
NIFTY,18-Sep-2023,30-Nov-2023,20435.55,20444.95,20302.20,20394.70,20387.00,20394.70,1420.00,14494.06,396500.00,5000.00,20133.30
NIFTY,15-Sep-2023,28-Sep-2023,20205.60,20270.00,20191.00,20249.60,20240.10,20249.60,77744.00,786468.67,10991300.00,138000.00,20192.35
NIFTY,15-Sep-2023,26-Oct-2023,20324.00,20370.00,20294.25,20352.35,20345.00,20352.35,8396.00,85360.25,1134250.00,80050.00,20192.35
NIFTY,15-Sep-2023,30-Nov-2023,20421.00,20475.00,20402.75,20462.10,20448.00,20462.10,2643.00,27013.28,391500.00,29550.00,20192.35
NIFTY,14-Sep-2023,26-Oct-2023,20260.00,20300.00,20202.35,20272.75,20284.55,20272.75,7843.00,79435.01,1054200.00,38450.00,20103.10
NIFTY,14-Sep-2023,28-Sep-2023,20150.00,20204.95,20095.00,20172.00,20186.60,20172.00,133266.00,1342787.13,10853300.00,738800.00,20103.10
NIFTY,14-Sep-2023,30-Nov-2023,20363.40,20405.00,20315.00,20383.85,20395.90,20383.85,3283.00,33434.58,361950.00,25300.00,20103.10
NIFTY,13-Sep-2023,28-Sep-2023,20020.05,20150.00,20001.15,20125.15,20128.95,20125.15,88689.00,890813.40,10114500.00,79100.00,20070.00
NIFTY,13-Sep-2023,30-Nov-2023,20254.45,20354.45,20217.80,20332.15,20335.00,20332.15,1910.00,19388.89,336650.00,25450.00,20070.00
NIFTY,13-Sep-2023,26-Oct-2023,20101.30,20250.00,20101.30,20227.25,20232.60,20227.25,6231.00,62926.47,1015750.00,75300.00,20070.00
NIFTY,12-Sep-2023,30-Nov-2023,20305.05,20330.00,20188.55,20257.35,20254.45,20257.35,2939.00,29776.79,311200.00,32950.00,19993.20
NIFTY,12-Sep-2023,26-Oct-2023,20200.00,20227.15,20073.00,20150.35,20144.00,20150.35,8371.00,84358.72,940450.00,45900.00,19993.20
NIFTY,12-Sep-2023,28-Sep-2023,20112.55,20133.00,19970.35,20046.30,20037.30,20046.30,137726.00,1380977.47,10035400.00,50550.00,19993.20
NIFTY,11-Sep-2023,28-Sep-2023,19912.10,20051.00,19892.00,20036.70,20046.00,20036.70,90088.00,900592.83,9984850.00,-50300.00,19996.35
NIFTY,11-Sep-2023,26-Oct-2023,19971.50,20149.85,19971.50,20137.50,20148.00,20137.50,7944.00,79822.30,894550.00,83300.00,19996.35
NIFTY,11-Sep-2023,30-Nov-2023,20119.95,20256.00,20113.70,20243.30,20256.00,20243.30,3759.00,37986.16,278250.00,42000.00,19996.35
NIFTY,08-Sep-2023,26-Oct-2023,19894.65,20014.95,19880.25,19974.85,19971.50,19974.85,7322.00,73047.06,811250.00,76350.00,19819.95
NIFTY,08-Sep-2023,28-Sep-2023,19800.00,19916.00,19772.30,19872.45,19874.00,19872.45,101422.00,1006767.19,10035150.00,-90250.00,19819.95
NIFTY,08-Sep-2023,30-Nov-2023,20011.05,20125.00,19988.95,20084.95,20088.00,20084.95,2703.00,27116.19,236250.00,33750.00,19819.95
NIFTY,07-Sep-2023,26-Oct-2023,19735.05,19884.95,19707.05,19871.95,19874.00,19871.95,9036.00,89493.93,734900.00,106350.00,19727.05
NIFTY,07-Sep-2023,30-Nov-2023,19866.70,19991.00,19814.00,19979.50,19977.00,19979.50,2965.00,29549.30,202500.00,67600.00,19727.05
NIFTY,07-Sep-2023,28-Sep-2023,19625.65,19788.90,19601.50,19768.70,19767.90,19768.70,125719.00,1238153.61,10125400.00,522400.00,19727.05
NIFTY,06-Sep-2023,28-Sep-2023,19650.00,19673.00,19556.10,19658.85,19665.20,19658.85,108385.00,1062911.26,9603000.00,78600.00,19611.05
NIFTY,06-Sep-2023,26-Oct-2023,19738.00,19770.00,19660.00,19755.00,19765.40,19755.00,5179.00,51071.06,628550.00,14800.00,19611.05
NIFTY,06-Sep-2023,30-Nov-2023,19843.80,19878.00,19770.60,19866.85,19875.00,19866.85,1219.00,12086.46,134900.00,9000.00,19611.05
NIFTY,05-Sep-2023,30-Nov-2023,19813.55,19865.55,19795.55,19859.15,19859.85,19859.15,1273.00,12626.86,125900.00,30450.00,19574.90
NIFTY,05-Sep-2023,26-Oct-2023,19705.95,19756.85,19690.00,19748.90,19748.60,19748.90,4186.00,41294.80,613750.00,34450.00,19574.90
NIFTY,05-Sep-2023,28-Sep-2023,19625.30,19664.00,19590.00,19653.55,19650.30,19653.55,73254.00,719079.57,9524400.00,-39850.00,19574.90
NIFTY,04-Sep-2023,28-Sep-2023,19562.65,19621.00,19508.00,19608.80,19614.35,19608.80,80046.00,783419.39,9564250.00,-37650.00,19528.80
NIFTY,04-Sep-2023,26-Oct-2023,19640.00,19713.70,19603.65,19703.45,19706.45,19703.45,4148.00,40793.20,579300.00,18250.00,19528.80
NIFTY,04-Sep-2023,30-Nov-2023,19756.80,19815.00,19709.25,19807.65,19815.00,19807.65,1747.00,17263.22,95450.00,36000.00,19528.80
NIFTY,01-Sep-2023,26-Oct-2023,19500.00,19620.00,19475.00,19606.10,19614.95,19606.10,5595.00,54690.99,561050.00,44750.00,19435.30
NIFTY,01-Sep-2023,28-Sep-2023,19409.50,19528.95,19377.00,19512.10,19519.50,19512.10,116553.00,1133742.89,9601900.00,-487600.00,19435.30
NIFTY,01-Sep-2023,30-Nov-2023,19560.00,19720.00,19556.55,19705.05,19719.00,19705.05,1904.00,18699.03,59450.00,59450.00,19435.30
NIFTY,31-Aug-2023,26-Oct-2023,19550.00,19579.60,19487.25,19516.70,19526.00,19516.70,5510.00,53768.32,516300.00,48100.00,19253.80
NIFTY,31-Aug-2023,31-Aug-2023,19354.35,19383.00,19235.60,19252.00,19254.00,19253.80,117738.00,1135752.51,2997100.00,-2357900.00,19253.80
NIFTY,31-Aug-2023,28-Sep-2023,19452.35,19492.00,19388.35,19414.25,19428.30,19414.25,142409.00,1382719.06,10089500.00,2601150.00,19253.80
NIFTY,30-Aug-2023,26-Oct-2023,19575.00,19625.00,19530.00,19541.60,19539.90,19541.60,3119.00,30555.32,468200.00,36950.00,19347.45
