Date,strategy,structure,position,strike,near_expiry,far_expiry,lot_size,pnl,iv_direction_correct,atm_strike,lower_strike,upper_strike,expiry
2023-04-28,manual_agree,calendar,SHORT_CALENDAR,18050.0,2023-05-04,2023-05-25,50,-760.0000000000001,True,,,,
2023-08-03,manual_agree,calendar,LONG_CALENDAR,19400.0,2023-08-10,2023-08-31,50,262.4999999999986,False,,,,
2023-09-22,manual_agree,calendar,LONG_CALENDAR,19650.0,2023-09-28,2023-10-19,50,2699.999999999999,True,,,,
2023-10-04,manual_agree,calendar,LONG_CALENDAR,19450.0,2023-10-05,2023-11-02,50,-852.4999999999991,False,,,,
2023-10-17,manual_agree,calendar,SHORT_CALENDAR,19800.0,2023-10-19,2023-11-16,50,362.50000000000034,True,,,,
2023-10-20,manual_agree,calendar,LONG_CALENDAR,19550.0,2023-10-26,2023-11-16,50,1219.9999999999995,False,,,,
2024-04-16,manual_agree,calendar,LONG_CALENDAR,22150.0,2024-04-18,2024-05-16,25,2533.7499999999995,True,,,,
2024-05-30,manual_agree,calendar,LONG_CALENDAR,22500.0,2024-06-06,2024-06-27,25,718.7500000000014,False,,,,
2024-07-19,manual_agree,calendar,LONG_CALENDAR,24550.0,2024-07-25,2024-08-22,25,4748.75,True,,,,
2024-08-02,manual_agree,calendar,LONG_CALENDAR,24700.0,2024-08-08,2024-08-29,25,-445.0000000000003,True,,,,
2024-08-05,manual_agree,calendar,LONG_CALENDAR,24050.0,2024-08-08,2024-09-05,25,1219.9999999999989,True,,,,
2024-08-07,manual_agree,calendar,SHORT_CALENDAR,24300.0,2024-08-08,2024-09-05,25,-736.2499999999993,True,,,,
2024-08-26,manual_agree,calendar,SHORT_CALENDAR,25000.0,2024-08-29,2024-09-26,25,-438.74999999999955,False,,,,
2024-09-10,manual_agree,calendar,SHORT_CALENDAR,25050.0,2024-09-12,2024-10-10,25,-267.50000000000006,True,,,,
2024-09-12,manual_agree,calendar,SHORT_CALENDAR,25400.0,2024-09-19,2024-10-10,25,-5816.249999999999,True,,,,
2024-09-20,manual_agree,calendar,SHORT_CALENDAR,25800.0,2024-09-26,2024-10-17,25,4011.2500000000005,False,,,,
2024-10-04,manual_agree,calendar,LONG_CALENDAR,25000.0,2024-10-10,2024-10-31,25,-263.7500000000017,True,,,,
2024-11-06,manual_agree,calendar,SHORT_CALENDAR,24500.0,2024-11-07,2024-12-05,25,-3761.2500000000005,True,,,,
2024-11-25,manual_agree,calendar,SHORT_CALENDAR,24200.0,2024-11-28,2024-12-26,25,-1901.25,True,,,,
2024-12-19,manual_agree,calendar,LONG_CALENDAR,23950.0,2024-12-26,2025-01-16,25,-1397.4999999999995,True,,,,
2025-01-16,manual_agree,calendar,SHORT_CALENDAR,23300.0,2025-01-23,2025-02-13,25,-502.4999999999999,False,,,,
2025-01-29,manual_agree,calendar,SHORT_CALENDAR,23150.0,2025-01-30,2025-02-27,25,-372.5000000000001,False,,,,
2025-02-05,manual_agree,calendar,SHORT_CALENDAR,23700.0,2025-02-06,2025-03-06,25,-426.2500000000003,True,,,,
2025-02-24,manual_agree,calendar,LONG_CALENDAR,22550.0,2025-02-27,2025-03-27,25,152.49999999999915,False,,,,
2025-02-28,manual_agree,calendar,LONG_CALENDAR,22100.0,2025-03-06,2025-03-27,25,1691.249999999998,True,,,,
2025-03-06,manual_agree,calendar,SHORT_CALENDAR,22550.0,2025-03-13,2025-04-03,25,392.50000000000114,False,,,,
2025-03-17,manual_agree,calendar,SHORT_CALENDAR,22500.0,2025-03-20,2025-04-17,25,-1130.0000000000005,False,,,,
2025-03-20,manual_agree,calendar,SHORT_CALENDAR,23200.0,2025-03-27,2025-04-17,25,-1815.0000000000005,True,,,,
2025-04-04,manual_agree,calendar,LONG_CALENDAR,22900.0,2025-04-09,2025-05-08,25,4986.25,False,,,,
2025-04-09,manual_agree,calendar,LONG_CALENDAR,22400.0,2025-04-17,2025-05-08,25,552.500000000002,True,,,,
2025-04-21,manual_agree,calendar,SHORT_CALENDAR,24150.0,2025-04-24,2025-05-22,25,-4677.5,False,,,,
2025-04-28,manual_agree,calendar,SHORT_CALENDAR,24350.0,2025-04-30,2025-05-29,25,-2584.9999999999995,True,,,,
2025-05-05,manual_agree,calendar,SHORT_CALENDAR,24450.0,2025-05-08,2025-06-05,25,-1303.7500000000002,True,,,,
2025-05-22,manual_agree,calendar,LONG_CALENDAR,24600.0,2025-05-29,2025-06-19,25,2690.0,False,,,,
2025-06-09,manual_agree,calendar,SHORT_CALENDAR,25100.0,2025-06-12,2025-07-10,25,-539.9999999999991,False,,,,
2025-06-25,manual_agree,calendar,SHORT_CALENDAR,25250.0,2025-06-26,2025-07-24,25,-1547.5000000000002,True,,,,
2022-04-06,manual_disagree,calendar,SHORT_CALENDAR,17800.0,2022-04-07,2022-05-05,50,187.50000000000176,True,,,,
2022-05-11,manual_disagree,calendar,SHORT_CALENDAR,16150.0,2022-05-12,2022-06-09,50,1657.5000000000018,False,,,,
2022-06-20,manual_disagree,calendar,SHORT_CALENDAR,15350.0,2022-06-23,2022-07-21,50,704.9999999999983,True,,,,
2022-09-21,manual_disagree,calendar,SHORT_CALENDAR,17700.0,2022-09-22,2022-10-20,50,1337.5000000000014,True,,,,
2022-09-30,manual_disagree,calendar,SHORT_CALENDAR,17100.0,2022-10-06,2022-10-27,50,-840.0000000000034,True,,,,
2023-01-11,manual_disagree,calendar,LONG_CALENDAR,17900.0,2023-01-12,2023-02-09,50,2127.5,True,,,,
2023-04-26,manual_disagree,calendar,LONG_CALENDAR,17800.0,2023-04-27,2023-05-25,50,1642.5,True,,,,
2023-10-25,manual_disagree,calendar,LONG_CALENDAR,19100.0,2023-10-26,2023-11-23,50,7545.000000000002,True,,,,
2023-11-01,manual_disagree,calendar,LONG_CALENDAR,19000.0,2023-11-02,2023-11-30,50,1259.9999999999995,True,,,,
2024-04-05,manual_disagree,calendar,LONG_CALENDAR,22500.0,2024-04-10,2024-05-02,25,1206.25,True,,,,
2024-08-29,manual_disagree,calendar,LONG_CALENDAR,25150.0,2024-09-05,2024-09-26,25,216.25000000000085,False,,,,
2024-09-06,manual_disagree,calendar,LONG_CALENDAR,24850.0,2024-09-12,2024-10-03,25,3213.7500000000005,True,,,,
2024-09-09,manual_disagree,calendar,SHORT_CALENDAR,24950.0,2024-09-12,2024-10-10,25,-1228.750000000001,True,,,,
2024-10-08,manual_disagree,calendar,SHORT_CALENDAR,25000.0,2024-10-10,2024-11-07,25,-642.5000000000005,False,,,,
2025-01-06,manual_disagree,calendar,LONG_CALENDAR,23600.0,2025-01-09,2025-02-06,25,5575.000000000001,True,,,,
2025-01-28,manual_disagree,calendar,SHORT_CALENDAR,22950.0,2025-01-30,2025-02-27,25,-408.75000000000057,False,,,,
2025-02-06,manual_disagree,calendar,LONG_CALENDAR,23600.0,2025-02-13,2025-03-06,25,244.99999999999886,True,,,,
2025-04-11,manual_disagree,calendar,SHORT_CALENDAR,22850.0,2025-04-17,2025-05-08,25,1076.2500000000002,True,,,,
2025-04-17,manual_disagree,calendar,SHORT_CALENDAR,23850.0,2025-04-24,2025-05-15,25,-6306.25,True,,,,
2025-05-13,manual_disagree,calendar,LONG_CALENDAR,24600.0,2025-05-15,2025-06-12,25,5127.5,False,,,,
2025-05-26,manual_disagree,calendar,SHORT_CALENDAR,25000.0,2025-05-29,2025-06-26,25,-358.75000000000057,False,,,,
2025-05-27,manual_disagree,calendar,LONG_CALENDAR,24850.0,2025-05-29,2025-06-26,25,1174.999999999998,True,,,,
2025-06-20,manual_disagree,calendar,SHORT_CALENDAR,25100.0,2025-06-26,2025-07-17,25,-2483.7500000000005,True,,,,
2025-06-23,manual_disagree,calendar,LONG_CALENDAR,24950.0,2025-06-26,2025-07-24,25,1337.5,True,,,,
2022-03-03,data_driven,calendar,LONG_CALENDAR,16500.0,2022-03-10,2022-03-31,50,2747.4999999999964,False,,,,
2022-03-10,data_driven,calendar,SHORT_CALENDAR,16600.0,2022-03-17,2022-04-07,50,-127.50000000000057,True,,,,
2022-04-06,data_driven,calendar,SHORT_CALENDAR,17800.0,2022-04-07,2022-05-05,50,187.50000000000176,True,,,,
2022-04-27,data_driven,calendar,LONG_CALENDAR,17050.0,2022-04-28,2022-05-26,50,1652.4999999999977,True,,,,
2022-05-11,data_driven,calendar,LONG_CALENDAR,16150.0,2022-05-12,2022-06-09,50,-3027.5000000000005,True,,,,
2022-06-29,data_driven,calendar,LONG_CALENDAR,15800.0,2022-06-30,2022-07-28,50,2307.5000000000005,True,,,,
2022-07-11,data_driven,calendar,SHORT_CALENDAR,16200.0,2022-07-14,2022-08-11,50,1240.0000000000005,True,,,,
2022-08-04,data_driven,calendar,LONG_CALENDAR,17400.0,2022-08-11,2022-09-01,50,427.4999999999977,True,,,,
2022-08-29,data_driven,calendar,LONG_CALENDAR,17300.0,2022-09-01,2022-09-29,50,3552.499999999999,True,,,,
2022-09-14,data_driven,calendar,LONG_CALENDAR,18000.0,2022-09-15,2022-10-13,50,1494.9999999999989,True,,,,
2022-09-21,data_driven,calendar,SHORT_CALENDAR,17700.0,2022-09-22,2022-10-20,50,1337.5000000000014,True,,,,
2022-09-26,data_driven,calendar,LONG_CALENDAR,17000.0,2022-09-29,2022-10-27,50,827.500000000002,True,,,,
2022-09-29,data_driven,calendar,LONG_CALENDAR,16800.0,2022-10-06,2022-10-27,50,45.000000000000284,False,,,,
2022-09-30,data_driven,calendar,SHORT_CALENDAR,17100.0,2022-10-06,2022-10-27,50,-840.0000000000034,True,,,,
2022-10-07,data_driven,calendar,LONG_CALENDAR,17300.0,2022-10-13,2022-11-03,50,377.4999999999977,False,,,,
2022-10-31,data_driven,calendar,SHORT_CALENDAR,18000.0,2022-11-03,2022-12-01,50,-1189.9999999999998,True,,,,
2022-12-07,data_driven,calendar,LONG_CALENDAR,18550.0,2022-12-08,2023-01-05,50,2527.5,True,,,,
2023-01-11,data_driven,calendar,LONG_CALENDAR,17900.0,2023-01-12,2023-02-09,50,2127.5,True,,,,
2023-02-15,data_driven,calendar,SHORT_CALENDAR,18000.0,2023-02-16,2023-03-16,50,-967.4999999999998,True,,,,
2023-03-10,data_driven,calendar,LONG_CALENDAR,17400.0,2023-03-16,2023-04-06,50,1855.0000000000025,True,,,,
2023-03-17,data_driven,calendar,SHORT_CALENDAR,17100.0,2023-03-23,2023-04-13,50,-1037.4999999999993,True,,,,
2023-03-20,data_driven,calendar,LONG_CALENDAR,17000.0,2023-03-23,2023-04-20,50,3170.000000000001,True,,,,
2023-03-21,data_driven,calendar,LONG_CALENDAR,17100.0,2023-03-23,2023-04-20,50,-672.5000000000001,False,,,,
2023-04-26,data_driven,calendar,LONG_CALENDAR,17800.0,2023-04-27,2023-05-25,50,1642.5,True,,,,
2023-04-28,data_driven,calendar,SHORT_CALENDAR,18050.0,2023-05-04,2023-05-25,50,-760.0000000000001,True,,,,
2023-05-03,data_driven,calendar,SHORT_CALENDAR,18100.0,2023-05-04,2023-06-01,50,507.5000000000003,False,,,,
2023-05-05,data_driven,calendar,LONG_CALENDAR,18050.0,2023-05-11,2023-06-01,50,682.500000000001,True,,,,
2023-08-03,data_driven,calendar,LONG_CALENDAR,19400.0,2023-08-10,2023-08-31,50,262.4999999999986,False,,,,
2023-08-28,data_driven,calendar,SHORT_CALENDAR,19300.0,2023-08-31,2023-09-28,50,-812.5000000000007,False,,,,
2023-09-22,data_driven,calendar,LONG_CALENDAR,19650.0,2023-09-28,2023-10-19,50,2699.999999999999,True,,,,
2023-09-27,data_driven,calendar,LONG_CALENDAR,19700.0,2023-09-28,2023-10-26,50,1217.499999999999,True,,,,
2023-10-04,data_driven,calendar,LONG_CALENDAR,19450.0,2023-10-05,2023-11-02,50,-852.4999999999991,False,,,,
2023-10-16,data_driven,calendar,LONG_CALENDAR,19750.0,2023-10-19,2023-11-16,50,-159.99999999999943,True,,,,
2023-10-17,data_driven,calendar,LONG_CALENDAR,19800.0,2023-10-19,2023-11-16,50,-180.00000000000043,False,,,,
2023-10-19,data_driven,calendar,LONG_CALENDAR,19600.0,2023-10-26,2023-11-16,50,1699.9999999999993,False,,,,
2023-10-20,data_driven,calendar,LONG_CALENDAR,19550.0,2023-10-26,2023-11-16,50,1219.9999999999995,False,,,,
2023-10-25,data_driven,calendar,LONG_CALENDAR,19100.0,2023-10-26,2023-11-23,50,7545.000000000002,True,,,,
2023-10-31,data_driven,calendar,LONG_CALENDAR,19100.0,2023-11-02,2023-11-30,50,335.00000000000085,True,,,,
2023-11-01,data_driven,calendar,LONG_CALENDAR,19000.0,2023-11-02,2023-11-30,50,1259.9999999999995,True,,,,
2024-02-14,data_driven,calendar,SHORT_CALENDAR,21850.0,2024-02-15,2024-03-14,25,-2290.0,False,,,,
2024-02-15,data_driven,calendar,SHORT_CALENDAR,21900.0,2024-02-22,2024-03-14,25,922.5000000000001,True,,,,
2024-04-05,data_driven,calendar,SHORT_CALENDAR,22500.0,2024-04-10,2024-05-02,25,-522.5000000000005,False,,,,
2024-04-16,data_driven,calendar,LONG_CALENDAR,22150.0,2024-04-18,2024-05-16,25,2533.7499999999995,True,,,,
2024-04-23,data_driven,calendar,SHORT_CALENDAR,22350.0,2024-04-25,2024-05-23,25,428.74999999999943,True,,,,
2024-05-30,data_driven,calendar,LONG_CALENDAR,22500.0,2024-06-06,2024-06-27,25,718.7500000000014,False,,,,
2024-07-19,data_driven,calendar,LONG_CALENDAR,24550.0,2024-07-25,2024-08-22,25,4748.75,True,,,,
2024-07-23,data_driven,calendar,LONG_CALENDAR,24500.0,2024-07-25,2024-08-22,25,514.9999999999999,False,,,,
2024-07-25,data_driven,calendar,LONG_CALENDAR,24400.0,2024-08-01,2024-08-22,25,477.5000000000002,True,,,,
2024-08-02,data_driven,calendar,LONG_CALENDAR,24700.0,2024-08-08,2024-08-29,25,-445.0000000000003,True,,,,
2024-08-05,data_driven,calendar,LONG_CALENDAR,24050.0,2024-08-08,2024-09-05,25,1219.9999999999989,True,,,,
2024-08-06,data_driven,calendar,SHORT_CALENDAR,24000.0,2024-08-08,2024-09-05,25,-2736.2500000000005,True,,,,
2024-08-07,data_driven,calendar,SHORT_CALENDAR,24300.0,2024-08-08,2024-09-05,25,-736.2499999999993,True,,,,
2024-08-09,data_driven,calendar,SHORT_CALENDAR,24350.0,2024-08-14,2024-09-05,25,-917.5000000000011,True,,,,
2024-08-12,data_driven,calendar,LONG_CALENDAR,24350.0,2024-08-14,2024-09-12,25,265.00000000000057,False,,,,
2024-08-14,data_driven,calendar,LONG_CALENDAR,24150.0,2024-08-22,2024-09-12,25,289.9999999999999,False,,,,
2024-08-26,data_driven,calendar,SHORT_CALENDAR,25000.0,2024-08-29,2024-09-26,25,-438.74999999999955,False,,,,
2024-08-29,data_driven,calendar,SHORT_CALENDAR,25150.0,2024-09-05,2024-09-26,25,-467.49999999999864,True,,,,
2024-09-04,data_driven,calendar,LONG_CALENDAR,25200.0,2024-09-05,2024-10-03,25,306.24999999999966,True,,,,
2024-09-06,data_driven,calendar,LONG_CALENDAR,24850.0,2024-09-12,2024-10-03,25,3213.7500000000005,True,,,,
2024-09-09,data_driven,calendar,SHORT_CALENDAR,24950.0,2024-09-12,2024-10-10,25,-1228.750000000001,True,,,,
2024-09-10,data_driven,calendar,SHORT_CALENDAR,25050.0,2024-09-12,2024-10-10,25,-267.50000000000006,True,,,,
2024-09-12,data_driven,calendar,LONG_CALENDAR,25400.0,2024-09-19,2024-10-10,25,1897.5000000000002,False,,,,
2024-09-20,data_driven,calendar,SHORT_CALENDAR,25800.0,2024-09-26,2024-10-17,25,4011.2500000000005,False,,,,
2024-10-04,data_driven,calendar,LONG_CALENDAR,25000.0,2024-10-10,2024-10-31,25,-263.7500000000017,True,,,,
2024-10-08,data_driven,calendar,SHORT_CALENDAR,25000.0,2024-10-10,2024-11-07,25,-642.5000000000005,False,,,,
2024-11-01,data_driven,calendar,LONG_CALENDAR,24300.0,2024-11-07,2024-11-28,25,243.75,True,,,,
2024-11-06,data_driven,calendar,SHORT_CALENDAR,24500.0,2024-11-07,2024-12-05,25,-3761.2500000000005,True,,,,
2024-11-25,data_driven,calendar,SHORT_CALENDAR,24200.0,2024-11-28,2024-12-26,25,-1901.25,True,,,,
2024-12-19,data_driven,calendar,LONG_CALENDAR,23950.0,2024-12-26,2025-01-16,25,-1397.4999999999995,True,,,,
2024-12-26,data_driven,calendar,SHORT_CALENDAR,23750.0,2025-01-02,2025-01-23,25,-36.250000000000426,False,,,,
2024-12-31,data_driven,calendar,LONG_CALENDAR,23650.0,2025-01-02,2025-01-30,25,126.25000000000028,True,,,,
2025-01-06,data_driven,calendar,LONG_CALENDAR,23600.0,2025-01-09,2025-02-06,25,5575.000000000001,True,,,,
2025-01-08,data_driven,calendar,LONG_CALENDAR,23700.0,2025-01-09,2025-02-06,25,1237.5,False,,,,
2025-01-16,data_driven,calendar,SHORT_CALENDAR,23300.0,2025-01-23,2025-02-13,25,-502.4999999999999,False,,,,
2025-01-28,data_driven,calendar,LONG_CALENDAR,22950.0,2025-01-30,2025-02-27,25,208.74999999999986,True,,,,
2025-01-29,data_driven,calendar,SHORT_CALENDAR,23150.0,2025-01-30,2025-02-27,25,-372.5000000000001,False,,,,
2025-02-05,data_driven,calendar,SHORT_CALENDAR,23700.0,2025-02-06,2025-03-06,25,-426.2500000000003,True,,,,
2025-02-06,data_driven,calendar,LONG_CALENDAR,23600.0,2025-02-13,2025-03-06,25,244.99999999999886,True,,,,
2025-02-24,data_driven,calendar,LONG_CALENDAR,22550.0,2025-02-27,2025-03-27,25,152.49999999999915,False,,,,
2025-02-28,data_driven,calendar,LONG_CALENDAR,22100.0,2025-03-06,2025-03-27,25,1691.249999999998,True,,,,
2025-03-03,data_driven,calendar,LONG_CALENDAR,22100.0,2025-03-06,2025-04-03,25,1137.5,False,,,,
2025-03-04,data_driven,calendar,LONG_CALENDAR,22100.0,2025-03-06,2025-04-03,25,731.2499999999997,False,,,,
2025-03-06,data_driven,calendar,SHORT_CALENDAR,22550.0,2025-03-13,2025-04-03,25,392.50000000000114,False,,,,
2025-03-11,data_driven,calendar,LONG_CALENDAR,22500.0,2025-03-13,2025-04-09,25,901.2499999999999,False,,,,
2025-03-13,data_driven,calendar,LONG_CALENDAR,22400.0,2025-03-20,2025-04-09,25,875.0000000000007,False,,,,
2025-03-17,data_driven,calendar,SHORT_CALENDAR,22500.0,2025-03-20,2025-04-17,25,-1130.0000000000005,False,,,,
2025-03-20,data_driven,calendar,SHORT_CALENDAR,23200.0,2025-03-27,2025-04-17,25,-1815.0000000000005,True,,,,
2025-03-25,data_driven,calendar,SHORT_CALENDAR,23650.0,2025-03-27,2025-04-24,25,-1054.9999999999998,False,,,,
2025-04-04,data_driven,calendar,LONG_CALENDAR,22900.0,2025-04-09,2025-05-08,25,4986.25,False,,,,
2025-04-09,data_driven,calendar,LONG_CALENDAR,22400.0,2025-04-17,2025-05-08,25,552.500000000002,True,,,,
2025-04-11,data_driven,calendar,SHORT_CALENDAR,22850.0,2025-04-17,2025-05-08,25,1076.2500000000002,True,,,,
2025-04-17,data_driven,calendar,SHORT_CALENDAR,23850.0,2025-04-24,2025-05-15,25,-6306.25,True,,,,
2025-04-21,data_driven,calendar,SHORT_CALENDAR,24150.0,2025-04-24,2025-05-22,25,-4677.5,False,,,,
2025-04-22,data_driven,calendar,SHORT_CALENDAR,24150.0,2025-04-24,2025-05-22,25,592.5000000000001,False,,,,
2025-04-28,data_driven,calendar,SHORT_CALENDAR,24350.0,2025-04-30,2025-05-29,25,-2584.9999999999995,True,,,,
2025-05-05,data_driven,calendar,SHORT_CALENDAR,24450.0,2025-05-08,2025-06-05,25,-1303.7500000000002,True,,,,
2025-05-13,data_driven,calendar,LONG_CALENDAR,24600.0,2025-05-15,2025-06-12,25,5127.5,False,,,,
2025-05-22,data_driven,calendar,LONG_CALENDAR,24600.0,2025-05-29,2025-06-19,25,2690.0,False,,,,
2025-05-26,data_driven,calendar,LONG_CALENDAR,25000.0,2025-05-29,2025-06-26,25,-381.25,True,,,,
2025-05-27,data_driven,calendar,LONG_CALENDAR,24850.0,2025-05-29,2025-06-26,25,1174.999999999998,True,,,,
2025-05-28,data_driven,calendar,LONG_CALENDAR,24750.0,2025-05-29,2025-06-26,25,1336.2499999999975,False,,,,
2025-06-09,data_driven,calendar,SHORT_CALENDAR,25100.0,2025-06-12,2025-07-10,25,-539.9999999999991,False,,,,
2025-06-16,data_driven,calendar,LONG_CALENDAR,24950.0,2025-06-19,2025-07-17,25,-1162.5,True,,,,
2025-06-18,data_driven,calendar,SHORT_CALENDAR,24800.0,2025-06-19,2025-07-17,25,-1031.2500000000007,False,,,,
2025-06-19,data_driven,calendar,SHORT_CALENDAR,24800.0,2025-06-26,2025-07-17,25,-373.75000000000045,True,,,,
2025-06-20,data_driven,calendar,SHORT_CALENDAR,25100.0,2025-06-26,2025-07-17,25,-2483.7500000000005,True,,,,
2025-06-23,data_driven,calendar,LONG_CALENDAR,24950.0,2025-06-26,2025-07-24,25,1337.5,True,,,,
2025-06-25,data_driven,calendar,SHORT_CALENDAR,25250.0,2025-06-26,2025-07-24,25,-1547.5000000000002,True,,,,
2021-01-28,manual_agree,butterfly,SHORT_FLY,,,,75,1492.5000000000068,False,13800.0,13700.0,13900.0,2021-02-25
2021-02-23,manual_agree,butterfly,SHORT_FLY,,,,75,-2163.7499999999973,True,14700.0,14600.0,14800.0,2021-03-25
2021-02-25,manual_agree,butterfly,LONG_FLY,,,,75,-378.7499999999966,True,15100.0,15000.0,15200.0,2021-03-25
2021-03-04,manual_agree,butterfly,SHORT_FLY,,,,75,1087.4999999999957,True,15100.0,15000.0,15200.0,2021-04-01
2021-09-29,manual_agree,butterfly,SHORT_FLY,,,,75,78.75000000000512,True,17700.0,17600.0,17800.0,2021-10-28
2021-12-01,manual_agree,butterfly,SHORT_FLY,,,,75,3269.9999999999973,True,17150.0,17050.0,17250.0,2021-12-30
2022-03-02,manual_agree,butterfly,SHORT_FLY,,,,50,5407.499999999999,True,16600.0,16500.0,16700.0,2022-03-31
2022-04-27,manual_agree,butterfly,SHORT_FLY,,,,50,-325.00000000000284,True,17050.0,16950.0,17150.0,2022-05-26
2022-07-11,manual_agree,butterfly,LONG_FLY,,,,50,6680.000000000001,True,16200.0,16100.0,16300.0,2022-08-11
2022-08-29,manual_agree,butterfly,SHORT_FLY,,,,50,3004.999999999998,True,17300.0,17200.0,17400.0,2022-09-29
2022-09-26,manual_agree,butterfly,SHORT_FLY,,,,50,-3767.499999999998,True,17000.0,16900.0,17100.0,2022-10-27
2023-03-10,manual_agree,butterfly,SHORT_FLY,,,,50,-394.999999999996,True,17400.0,17300.0,17500.0,2023-04-06
2023-03-17,manual_agree,butterfly,LONG_FLY,,,,50,-852.4999999999991,True,17100.0,17000.0,17200.0,2023-04-13
2023-03-21,manual_agree,butterfly,LONG_FLY,,,,50,-107.5000000000017,True,17100.0,17000.0,17200.0,2023-04-20
2023-04-28,manual_agree,butterfly,LONG_FLY,,,,50,-249.9999999999993,True,18050.0,17950.0,18150.0,2023-05-25
2023-08-03,manual_agree,butterfly,SHORT_FLY,,,,50,1682.4999999999975,False,19400.0,19300.0,19500.0,2023-08-31
2023-10-04,manual_agree,butterfly,SHORT_FLY,,,,50,-1674.9999999999973,False,19450.0,19350.0,19550.0,2023-11-02
2024-05-30,manual_agree,butterfly,SHORT_FLY,,,,25,-469.999999999996,False,22500.0,22400.0,22600.0,2024-06-27
2024-08-02,manual_agree,butterfly,SHORT_FLY,,,,25,1274.9999999999986,True,24700.0,24600.0,24800.0,2024-08-29
2024-08-07,manual_agree,butterfly,LONG_FLY,,,,25,-321.24999999999915,True,24300.0,24200.0,24400.0,2024-09-05
2024-08-26,manual_agree,butterfly,LONG_FLY,,,,25,100.00000000000071,False,25000.0,24900.0,25100.0,2024-09-26
2024-09-12,manual_agree,butterfly,LONG_FLY,,,,25,-7788.749999999999,True,25400.0,25300.0,25500.0,2024-10-10
2024-09-20,manual_agree,butterfly,LONG_FLY,,,,25,13650.0,False,25800.0,25700.0,25900.0,2024-10-17
2024-10-04,manual_agree,butterfly,SHORT_FLY,,,,25,-1652.5000000000034,True,25000.0,24900.0,25100.0,2024-10-31
2024-11-25,manual_agree,butterfly,LONG_FLY,,,,25,-992.499999999999,True,24200.0,24100.0,24300.0,2024-12-26
2024-12-19,manual_agree,butterfly,SHORT_FLY,,,,25,1701.2500000000018,True,23950.0,23850.0,24050.0,2025-01-16
2025-01-16,manual_agree,butterfly,LONG_FLY,,,,25,-1366.2499999999995,False,23300.0,23200.0,23400.0,2025-02-13
2025-01-29,manual_agree,butterfly,LONG_FLY,,,,25,-571.2500000000006,False,23150.0,23050.0,23250.0,2025-02-27
2025-02-05,manual_agree,butterfly,LONG_FLY,,,,25,308.7499999999999,True,23700.0,23600.0,23800.0,2025-03-06
2025-02-24,manual_agree,butterfly,SHORT_FLY,,,,25,-4307.500000000003,False,22550.0,22450.0,22650.0,2025-03-27
