Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Jun-2023,31-Aug-2023,19160.00,19358.55,19159.60,19348.90,19356.05,19348.90,10301.00,99354.01,935450.00,111150.00,-
NIFTY,30-Jun-2023,27-Jul-2023,19082.00,19273.15,19082.00,19261.25,19270.80,19261.25,110566.00,1062059.42,10007850.00,879700.00,-
NIFTY,30-Jun-2023,28-Sep-2023,19300.00,19447.20,19206.65,19438.45,19439.35,19438.45,2727.00,26405.73,74000.00,74000.00,-
NIFTY,28-Jun-2023,31-Aug-2023,19050.90,19191.85,19035.10,19159.60,19167.00,19159.60,12803.00,122483.27,824300.00,216300.00,18972.10
NIFTY,28-Jun-2023,27-Jul-2023,18975.00,19107.60,18947.50,19072.45,19082.35,19072.45,152181.00,1449807.05,9128150.00,2802200.00,18972.10
NIFTY,28-Jun-2023,28-Jun-2023,18850.50,19009.95,18845.35,18966.30,18975.50,18972.10,127163.00,1204589.77,3131900.00,-2251400.00,18972.10
NIFTY,27-Jun-2023,28-Jun-2023,-,-,-,-,-,-,-,-,-,-,-
NIFTY,27-Jun-2023,27-Jul-2023,18840.00,18930.00,18822.60,18919.30,18927.00,18919.30,91134.00,859616.15,6325950.00,2798650.00,18817.40
NIFTY,27-Jun-2023,31-Aug-2023,18918.70,19016.15,18914.45,19006.10,19010.00,19006.10,5344.00,50669.57,608000.00,98850.00,18817.40
NIFTY,27-Jun-2023,29-Jun-2023,18741.00,18822.40,18730.00,18811.20,18815.00,18811.20,112904.00,1059609.05,5383300.00,-1883300.00,18817.40
NIFTY,26-Jun-2023,27-Jul-2023,18790.05,18830.90,18753.00,18806.30,18804.65,18806.30,44541.00,418444.86,3527300.00,1426050.00,18691.20
NIFTY,26-Jun-2023,29-Jun-2023,18720.00,18744.45,18665.00,18717.20,18718.00,18717.20,91687.00,857355.82,7266600.00,-1265200.00,18691.20
NIFTY,26-Jun-2023,31-Aug-2023,18893.55,18924.05,18850.15,18898.45,18900.00,18898.45,2566.00,24228.91,509150.00,18850.00,18691.20
NIFTY,23-Jun-2023,31-Aug-2023,18995.05,18995.05,18887.00,18893.55,18895.00,18893.55,4197.00,39695.41,490300.00,19600.00,-
NIFTY,23-Jun-2023,27-Jul-2023,18899.75,18899.75,18790.00,18797.10,18790.00,18797.10,28048.00,263937.74,2101250.00,290850.00,-
NIFTY,23-Jun-2023,29-Jun-2023,18789.00,18808.25,18690.00,18705.90,18701.00,18705.90,129582.00,1213469.95,8531800.00,-1171800.00,-
