Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Sep-2024,26-Dec-2024,26535.00,26535.00,26205.00,26242.85,26235.00,26242.85,8240.00,54215.56,179650.00,63225.00,-
NIFTY,30-Sep-2024,28-Nov-2024,26399.00,26401.40,26086.00,26123.80,26115.00,26123.80,26876.00,176102.63,1102750.00,-75900.00,-
NIFTY,30-Sep-2024,31-Oct-2024,26280.00,26301.10,25951.25,25990.15,25990.00,25990.15,327144.00,2133364.73,14902375.00,-1382000.00,-
NIFTY,27-Sep-2024,26-Dec-2024,26599.85,26620.65,26500.00,26564.10,26564.00,26564.10,8685.00,57710.46,116425.00,116425.00,26178.95
NIFTY,27-Sep-2024,28-Nov-2024,26399.00,26499.00,26399.00,26459.15,26460.00,26459.15,18083.00,119623.78,1178650.00,32600.00,26178.95
NIFTY,27-Sep-2024,31-Oct-2024,26308.80,26402.90,26304.10,26345.15,26345.60,26345.15,191859.00,1264127.02,16284375.00,239250.00,26178.95
NIFTY,26-Sep-2024,31-Oct-2024,26105.50,26336.45,26105.50,26308.85,26285.25,26308.85,395284.00,2594003.88,16045125.00,4597700.00,26216.05
NIFTY,26-Sep-2024,28-Nov-2024,26246.15,26432.95,26245.15,26402.35,26380.00,26402.35,35226.00,232062.21,1146050.00,308575.00,26216.05
NIFTY,26-Sep-2024,26-Sep-2024,26024.05,26260.10,26016.50,26226.50,26219.95,26216.05,254868.00,1663841.22,4633000.00,-2102350.00,26216.05
NIFTY,25-Sep-2024,31-Oct-2024,26065.05,26155.00,26005.65,26126.70,26130.90,26126.70,198757.00,1295512.58,11447425.00,2075875.00,26004.15
NIFTY,25-Sep-2024,26-Sep-2024,25944.85,26027.95,25878.10,25998.20,26003.00,25998.20,189802.00,1230807.77,6735350.00,-2241975.00,26004.15
NIFTY,25-Sep-2024,28-Nov-2024,26171.00,26255.75,26130.00,26232.00,26238.00,26232.00,12156.00,79588.10,837475.00,96275.00,26004.15
NIFTY,24-Sep-2024,28-Nov-2024,26132.05,26224.95,26112.30,26179.80,26185.00,26179.80,9970.00,65277.42,741200.00,72175.00,-
NIFTY,24-Sep-2024,31-Oct-2024,26055.90,26130.00,26025.50,26081.35,26094.00,26081.35,185210.00,1208054.25,9371550.00,3139150.00,-
NIFTY,24-Sep-2024,26-Sep-2024,25901.05,26000.00,25899.85,25944.70,25956.00,25944.70,225409.00,1462882.63,8977325.00,-2428825.00,-
NIFTY,23-Sep-2024,26-Sep-2024,25850.20,25954.10,25850.20,25917.85,25915.20,25917.85,250164.00,1619854.44,11406150.00,-2359075.00,25939.05
