Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-Feb-2024,25-Apr-2024,22220.00,22335.00,22162.80,22283.50,22323.00,22283.50,9955.00,110753.56,987650.00,62650.00,21982.80
NIFTY,29-Feb-2024,29-Feb-2024,21902.00,22029.95,21843.00,21957.40,21983.40,21982.80,143145.00,1571006.96,3670800.00,-1507050.00,21982.80
NIFTY,29-Feb-2024,28-Mar-2024,22074.95,22199.55,22022.00,22160.50,22181.50,22160.50,181719.00,2009095.48,13081300.00,3215450.00,21982.80
NIFTY,28-Feb-2024,25-Apr-2024,22499.60,22508.00,22190.00,22211.20,22190.00,22211.20,7890.00,88036.88,925000.00,43100.00,21951.15
NIFTY,28-Feb-2024,28-Mar-2024,22360.25,22371.55,22045.00,22075.70,22046.95,22075.70,119725.00,1327773.70,9865850.00,2341550.00,21951.15
NIFTY,28-Feb-2024,29-Feb-2024,22196.85,22225.00,21890.00,21921.35,21895.00,21921.35,147189.00,1621639.99,5177850.00,-1640600.00,21951.15
NIFTY,27-Feb-2024,28-Mar-2024,22178.00,22373.05,22178.00,22348.85,22341.10,22348.85,85059.00,948802.59,7524300.00,2626700.00,-
NIFTY,27-Feb-2024,25-Apr-2024,22427.90,22510.00,22384.20,22488.55,22485.00,22488.55,4084.00,45850.11,881900.00,79650.00,-
NIFTY,27-Feb-2024,29-Feb-2024,22120.00,22229.30,22095.10,22203.05,22196.50,22203.05,123409.00,1367386.88,6818450.00,-2321500.00,-
NIFTY,26-Feb-2024,28-Mar-2024,22335.30,22374.95,22241.90,22291.80,22296.85,22291.80,58903.00,656761.26,4897600.00,1667200.00,22122.05
NIFTY,26-Feb-2024,29-Feb-2024,22195.00,22230.60,22088.00,22141.65,22138.35,22141.65,119614.00,1324983.03,9139950.00,-1104700.00,22122.05
NIFTY,26-Feb-2024,25-Apr-2024,22480.05,22514.10,22389.20,22435.70,22439.70,22435.70,3039.00,34102.21,802250.00,5500.00,22122.05
NIFTY,23-Feb-2024,25-Apr-2024,22565.00,22599.45,22498.50,22514.00,22506.00,22514.00,4063.00,45806.06,796750.00,58900.00,22212.70
NIFTY,23-Feb-2024,28-Mar-2024,22413.00,22464.95,22353.80,22374.30,22370.65,22374.30,33267.00,372751.91,3230400.00,687200.00,22212.70
NIFTY,23-Feb-2024,29-Feb-2024,22285.10,22344.45,22207.00,22228.85,22222.00,22228.85,120520.00,1341661.09,10244650.00,-891350.00,22212.70
NIFTY,22-Feb-2024,29-Feb-2024,22119.80,22269.90,21943.00,22243.25,22269.80,22243.25,206565.00,2282595.82,11136000.00,-66450.00,22217.45
NIFTY,22-Feb-2024,28-Mar-2024,22218.50,22410.00,22093.60,22383.20,22410.00,22383.20,45705.00,508152.16,2543200.00,837800.00,22217.45
NIFTY,22-Feb-2024,25-Apr-2024,22375.75,22549.00,22240.15,22516.55,22545.45,22516.55,6357.00,71168.35,737850.00,72400.00,22217.45
NIFTY,21-Feb-2024,25-Apr-2024,22518.95,22544.00,22320.00,22346.10,22334.00,22346.10,4501.00,50513.17,665450.00,30350.00,22055.05
NIFTY,21-Feb-2024,29-Feb-2024,22245.15,22272.00,22022.85,22070.15,22034.00,22070.15,133217.00,1475926.42,11202450.00,-159250.00,22055.05
NIFTY,21-Feb-2024,28-Mar-2024,22397.95,22409.00,22175.00,22211.80,22185.00,22211.80,26912.00,300149.87,1705400.00,268850.00,22055.05
NIFTY,20-Feb-2024,25-Apr-2024,22430.05,22508.95,22361.70,22494.25,22501.00,22494.25,2699.00,30293.46,635100.00,31900.00,22196.95
NIFTY,20-Feb-2024,28-Mar-2024,22307.00,22372.75,22225.40,22359.15,22370.00,22359.15,14034.00,156547.42,1436550.00,77650.00,22196.95
NIFTY,20-Feb-2024,29-Feb-2024,22140.00,22234.00,22076.00,22217.20,22231.95,22217.20,117158.00,1297774.62,11361700.00,-397100.00,22196.95
NIFTY,19-Feb-2024,28-Mar-2024,22299.95,22399.00,22201.50,22312.05,22294.80,22312.05,13467.00,150317.07,1358900.00,112400.00,22122.25
NIFTY,19-Feb-2024,25-Apr-2024,22404.50,22531.10,22338.00,22448.60,22442.00,22448.60,4178.00,46921.10,603200.00,47100.00,22122.25
NIFTY,19-Feb-2024,29-Feb-2024,22142.20,22259.95,22055.00,22171.40,22160.60,22171.40,108926.00,1207604.22,11758800.00,145500.00,22122.25
NIFTY,16-Feb-2024,28-Mar-2024,22165.05,22277.65,22165.05,22242.25,22235.00,22242.25,14371.00,159745.35,1246500.00,91550.00,22040.70
NIFTY,16-Feb-2024,29-Feb-2024,22060.20,22139.95,22039.45,22097.80,22089.50,22097.80,108026.00,1193325.94,11613300.00,162650.00,22040.70
NIFTY,16-Feb-2024,25-Apr-2024,22349.00,22417.00,22317.55,22379.35,22372.95,22379.35,4053.00,45327.80,556100.00,77600.00,22040.70
NIFTY,15-Feb-2024,25-Apr-2024,22209.00,22307.25,22140.05,22287.05,22297.00,22287.05,4079.00,45391.73,478500.00,94300.00,21910.75
NIFTY,15-Feb-2024,28-Mar-2024,22074.70,22169.95,21996.25,22149.60,22160.00,22149.60,13118.00,144984.24,1154950.00,93050.00,21910.75
NIFTY,15-Feb-2024,29-Feb-2024,21970.20,22027.95,21846.00,22005.05,22015.50,22005.05,164763.00,1808331.29,11450650.00,-367650.00,21910.75
NIFTY,14-Feb-2024,29-Feb-2024,21675.00,21951.00,21600.85,21916.85,21925.00,21916.85,185897.00,2022128.46,11818300.00,-177300.00,21840.05
NIFTY,14-Feb-2024,28-Mar-2024,21839.95,22093.00,21753.60,22057.10,22074.70,22057.10,17075.00,186787.24,1061900.00,63200.00,21840.05
NIFTY,14-Feb-2024,25-Apr-2024,21960.10,22231.25,21906.05,22201.80,22209.00,22201.80,3967.00,43734.04,384200.00,4100.00,21840.05
NIFTY,13-Feb-2024,29-Feb-2024,21720.20,21844.25,21626.55,21823.75,21816.75,21823.75,138222.00,1503870.33,11995600.00,144100.00,21743.25
NIFTY,13-Feb-2024,28-Mar-2024,21872.95,21981.60,21780.00,21965.25,21961.00,21965.25,10134.00,110998.62,998700.00,26900.00,21743.25
NIFTY,13-Feb-2024,25-Apr-2024,21997.20,22129.75,21931.00,22114.65,22100.05,22114.65,2534.00,27948.83,380100.00,18950.00,21743.25
NIFTY,12-Feb-2024,25-Apr-2024,22150.95,22179.50,21966.00,21992.20,21995.00,21992.20,2530.00,27889.64,361150.00,4450.00,21616.05
NIFTY,12-Feb-2024,28-Mar-2024,21949.40,22041.10,21813.40,21842.00,21845.00,21842.00,10891.00,119208.38,971800.00,-27600.00,21616.05
NIFTY,12-Feb-2024,29-Feb-2024,21905.60,22088.65,21662.00,21697.85,21696.00,21697.85,134426.00,1462199.32,11851500.00,166600.00,21616.05
NIFTY,09-Feb-2024,29-Feb-2024,21809.90,21867.40,21674.20,21842.60,21848.90,21842.60,151304.00,1648468.61,11684900.00,-606950.00,21782.50
NIFTY,09-Feb-2024,28-Mar-2024,21900.00,22008.00,21823.05,21989.45,21988.05,21989.45,9932.00,108909.66,999400.00,83350.00,21782.50
NIFTY,09-Feb-2024,25-Apr-2024,22101.40,22155.00,21978.00,22138.35,22138.90,22138.35,2229.00,24603.96,356700.00,-4200.00,21782.50
NIFTY,08-Feb-2024,28-Mar-2024,22210.00,22228.85,21912.30,21951.85,21977.95,21951.85,14571.00,160442.96,916050.00,-171300.00,21717.95
NIFTY,08-Feb-2024,29-Feb-2024,22055.00,22087.00,21768.00,21814.60,21829.50,21814.60,218972.00,2397435.74,12291850.00,179050.00,21717.95
NIFTY,08-Feb-2024,25-Apr-2024,22329.50,22367.75,22067.60,22105.05,22125.00,22105.05,3825.00,42418.87,360900.00,1700.00,21717.95
NIFTY,07-Feb-2024,29-Feb-2024,22090.20,22109.85,21901.30,22003.70,22019.30,22003.70,132898.00,1461719.79,12112800.00,65500.00,21930.50
NIFTY,07-Feb-2024,28-Mar-2024,22200.00,22244.95,22047.85,22146.00,22170.00,22146.00,8086.00,89528.41,1087350.00,14650.00,21930.50
NIFTY,07-Feb-2024,25-Apr-2024,22350.00,22383.95,22195.00,22295.00,22298.80,22295.00,1905.00,21232.90,359200.00,9400.00,21930.50
NIFTY,06-Feb-2024,29-Feb-2024,21836.60,22015.00,21790.05,21979.55,22000.80,21979.55,129365.00,1418429.69,12047300.00,254450.00,21929.40
NIFTY,06-Feb-2024,28-Mar-2024,21968.45,22150.00,21930.75,22120.05,22142.20,22120.05,9112.00,100555.10,1072700.00,84800.00,21929.40
NIFTY,06-Feb-2024,25-Apr-2024,22107.40,22288.00,22080.90,22256.05,22278.00,22256.05,2328.00,25844.68,349800.00,27150.00,21929.40
NIFTY,05-Feb-2024,25-Apr-2024,22201.00,22305.10,22055.05,22089.40,22080.00,22089.40,3356.00,37251.34,322650.00,33100.00,21771.70
NIFTY,05-Feb-2024,28-Mar-2024,22050.55,22169.00,21911.00,21947.65,21932.55,21947.65,11764.00,129693.72,987900.00,61000.00,21771.70
NIFTY,05-Feb-2024,29-Feb-2024,21925.00,22036.30,21765.00,21803.45,21787.00,21803.45,158291.00,1733565.28,11792850.00,-14100.00,21771.70
NIFTY,02-Feb-2024,29-Feb-2024,21880.20,22198.85,21877.05,21951.40,21959.00,21951.40,236827.00,2608381.92,11806950.00,465150.00,21853.80
NIFTY,02-Feb-2024,28-Mar-2024,22010.00,22333.75,22010.00,22087.75,22090.00,22087.75,16984.00,188315.18,926900.00,63650.00,21853.80
NIFTY,02-Feb-2024,25-Apr-2024,22154.70,22466.95,22149.95,22231.60,22242.70,22231.60,5775.00,64417.76,289550.00,107250.00,21853.80
NIFTY,01-Feb-2024,28-Mar-2024,21973.65,22051.05,21870.95,21894.55,21888.80,21894.55,9162.00,100538.15,863250.00,84200.00,21697.45
NIFTY,01-Feb-2024,29-Feb-2024,21800.15,21920.00,21725.00,21751.45,21741.00,21751.45,180971.00,1973460.77,11341800.00,95300.00,21697.45
NIFTY,01-Feb-2024,25-Apr-2024,22105.00,22184.40,22004.25,22022.10,22020.90,22022.10,2618.00,28908.11,182300.00,42750.00,21697.45
NIFTY,31-Jan-2024,29-Feb-2024,21614.95,21840.00,21570.00,21808.60,21786.45,21808.60,146625.00,1594631.51,11246500.00,-7750.00,-
NIFTY,31-Jan-2024,25-Apr-2024,21890.30,22104.00,21858.50,22083.25,22060.00,22083.25,2333.00,25690.90,139550.00,17500.00,-
NIFTY,31-Jan-2024,28-Mar-2024,21740.05,21975.00,21713.80,21945.55,21938.55,21945.55,8067.00,88337.95,779050.00,7200.00,-
NIFTY,30-Jan-2024,29-Feb-2024,21900.20,21938.80,21607.00,21630.50,21625.05,21630.50,163520.00,1779759.12,11254250.00,-1136250.00,21522.10
NIFTY,30-Jan-2024,28-Mar-2024,22072.45,22083.05,21755.05,21774.95,21776.00,21774.95,9029.00,98879.69,771850.00,-27750.00,21522.10
NIFTY,30-Jan-2024,25-Apr-2024,22198.95,22200.00,21890.00,21911.90,21900.55,21911.90,2684.00,29552.98,122050.00,32350.00,21522.10
NIFTY,29-Jan-2024,25-Apr-2024,21717.15,22150.00,21717.15,22125.75,22150.00,22125.75,2902.00,31959.70,89700.00,89700.00,-
NIFTY,29-Jan-2024,29-Feb-2024,21591.00,21885.00,21575.00,21855.25,21875.20,21855.25,181214.00,1971859.11,12390500.00,169100.00,-
NIFTY,29-Jan-2024,28-Mar-2024,21700.00,22016.65,21691.70,21992.20,22015.50,21992.20,12395.00,135718.80,799600.00,147700.00,-
NIFTY,25-Jan-2024,25-Apr-2024,-,-,-,-,-,-,-,-,-,-,21352.60
NIFTY,25-Jan-2024,28-Mar-2024,21716.35,21725.90,21535.00,21617.90,21645.00,21617.90,8386.00,90592.26,651900.00,84600.00,21352.60
NIFTY,25-Jan-2024,29-Feb-2024,21611.00,21611.00,21394.05,21488.55,21510.00,21488.55,184170.00,1976761.91,12221400.00,3033350.00,21352.60
NIFTY,25-Jan-2024,25-Jan-2024,21455.00,21474.15,21243.00,21325.45,21351.00,21352.60,145154.00,1547037.98,2964250.00,-2321100.00,21352.60
