Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Jun-2024,29-Aug-2024,24218.10,24336.85,24210.50,24236.00,24236.50,24236.00,23245.00,141076.79,1270650.00,56025.00,24010.60
NIFTY,28-Jun-2024,26-Sep-2024,24349.90,24461.75,24338.00,24360.55,24363.40,24360.55,5403.00,32969.63,61425.00,61425.00,24010.60
NIFTY,28-Jun-2024,25-Jul-2024,24151.00,24240.00,24102.10,24132.25,24131.00,24132.25,284644.00,1720365.18,14158500.00,230275.00,24010.60
NIFTY,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,-
NIFTY,27-Jun-2024,29-Aug-2024,24025.00,24218.10,24013.00,24194.30,24200.00,24194.30,36213.00,218565.89,1214625.00,375000.00,24044.50
NIFTY,27-Jun-2024,25-Jul-2024,23953.60,24121.10,23899.85,24095.85,24105.00,24095.85,484849.00,2913366.96,13928225.00,4337575.00,24044.50
NIFTY,27-Jun-2024,27-Jun-2024,23812.05,24061.75,23792.60,24038.05,24047.10,24044.50,306976.00,1838357.70,4717475.00,-1896125.00,24044.50
NIFTY,26-Jun-2024,27-Jun-2024,23731.25,23906.80,23676.00,23867.95,23862.10,23867.95,228932.00,1362498.34,6613600.00,-2308025.00,23868.80
NIFTY,26-Jun-2024,25-Jul-2024,23826.35,24000.00,23780.80,23972.50,23968.45,23972.50,209368.00,1252166.01,9590650.00,2784700.00,23868.80
NIFTY,26-Jun-2024,29-Aug-2024,23949.95,24100.00,23896.00,24074.80,24066.20,24074.80,15943.00,95717.03,839625.00,131800.00,23868.80
NIFTY,25-Jun-2024,25-Jul-2024,23743.95,23848.65,23692.10,23831.65,23840.00,23831.65,165386.00,982587.25,6805950.00,2045875.00,23721.30
NIFTY,25-Jun-2024,27-Jun-2024,23568.05,23746.10,23550.55,23731.25,23735.00,23731.25,254050.00,1502201.06,8921625.00,-1294550.00,23721.30
NIFTY,25-Jun-2024,29-Aug-2024,23810.00,23956.60,23802.60,23944.05,23945.00,23944.05,14751.00,88067.32,707825.00,96050.00,23721.30
NIFTY,24-Jun-2024,27-Jun-2024,23375.00,23565.35,23335.00,23543.20,23555.00,23543.20,259606.00,1524008.67,10216175.00,-1477275.00,23537.85
NIFTY,24-Jun-2024,29-Aug-2024,23690.00,23810.00,23606.05,23790.80,23802.15,23790.80,9866.00,58544.06,611775.00,35475.00,23537.85
NIFTY,24-Jun-2024,25-Jul-2024,23511.20,23694.00,23470.00,23669.80,23685.00,23669.80,156398.00,923455.25,4760075.00,1721725.00,23537.85
NIFTY,21-Jun-2024,27-Jun-2024,23625.00,23633.15,23415.20,23487.30,23460.20,23487.30,301184.00,1770713.97,11693450.00,-625725.00,23501.10
NIFTY,21-Jun-2024,25-Jul-2024,23710.10,23743.65,23550.00,23612.30,23583.10,23612.30,75765.00,447889.09,3038350.00,207275.00,23501.10
NIFTY,21-Jun-2024,29-Aug-2024,23831.00,23860.00,23679.55,23746.00,23720.60,23746.00,9794.00,58198.15,576300.00,11825.00,23501.10
NIFTY,20-Jun-2024,29-Aug-2024,23750.90,23858.00,23700.00,23820.10,23831.00,23820.10,5901.00,35101.77,564475.00,23175.00,23567.00
NIFTY,20-Jun-2024,25-Jul-2024,23654.60,23738.95,23567.00,23700.30,23710.00,23700.30,44137.00,261143.60,2831075.00,302525.00,23567.00
NIFTY,20-Jun-2024,27-Jun-2024,23526.00,23629.80,23445.90,23582.50,23597.90,23582.50,222217.00,1307953.87,12319175.00,42775.00,23567.00
NIFTY,19-Jun-2024,27-Jun-2024,23611.25,23669.75,23432.65,23503.60,23497.95,23503.60,312950.00,1842025.42,12276400.00,-35050.00,23516.00
NIFTY,19-Jun-2024,25-Jul-2024,23704.70,23788.00,23550.35,23624.60,23623.00,23624.60,51418.00,304235.51,2528550.00,144075.00,23516.00
NIFTY,19-Jun-2024,29-Aug-2024,23850.00,23899.85,23680.00,23750.85,23740.60,23750.85,11686.00,69499.27,541300.00,29175.00,23516.00
NIFTY,18-Jun-2024,25-Jul-2024,23620.00,23728.95,23620.00,23688.55,23692.00,23688.55,31618.00,187240.04,2384475.00,66600.00,23557.90
NIFTY,18-Jun-2024,27-Jun-2024,23511.15,23610.00,23511.15,23568.10,23570.00,23568.10,160903.00,947968.52,12311450.00,217600.00,23557.90
NIFTY,18-Jun-2024,29-Aug-2024,23770.00,23838.75,23751.75,23807.90,23814.00,23807.90,6085.00,36205.47,512125.00,35550.00,23557.90
NIFTY,14-Jun-2024,29-Aug-2024,23630.25,23724.50,23600.20,23710.55,23697.10,23710.55,7487.00,44327.37,476575.00,31725.00,-
NIFTY,14-Jun-2024,27-Jun-2024,23421.70,23489.85,23350.80,23466.65,23457.10,23466.65,181496.00,1063400.28,12093850.00,77650.00,-
NIFTY,14-Jun-2024,25-Jul-2024,23585.00,23609.00,23480.40,23588.55,23580.00,23588.55,34343.00,202257.92,2317875.00,339225.00,-
NIFTY,13-Jun-2024,27-Jun-2024,23461.05,23482.00,23371.35,23399.25,23396.95,23399.25,205751.00,1204126.71,12016200.00,-353550.00,-
NIFTY,13-Jun-2024,29-Aug-2024,23694.00,23700.05,23620.00,23641.05,23630.25,23641.05,5511.00,32585.66,444850.00,34650.00,-
NIFTY,13-Jun-2024,25-Jul-2024,23510.20,23594.80,23495.15,23521.40,23519.00,23521.40,24878.00,146362.35,1978650.00,193450.00,-
NIFTY,12-Jun-2024,29-Aug-2024,23550.00,23706.95,23550.00,23600.85,23609.70,23600.85,7396.00,43709.86,410200.00,33475.00,23322.95
NIFTY,12-Jun-2024,25-Jul-2024,23440.05,23600.95,23437.20,23476.95,23486.00,23476.95,51808.00,304601.02,1785200.00,511100.00,23322.95
NIFTY,12-Jun-2024,27-Jun-2024,23321.65,23474.00,23303.30,23355.10,23360.00,23355.10,236735.00,1384614.85,12369750.00,95625.00,23322.95
NIFTY,11-Jun-2024,27-Jun-2024,23253.65,23447.00,23220.20,23309.80,23312.65,23309.80,231449.00,1350379.53,12274125.00,20625.00,23264.85
NIFTY,11-Jun-2024,25-Jul-2024,23387.90,23568.00,23350.55,23439.65,23445.00,23439.65,28248.00,165720.95,1274100.00,91375.00,23264.85
NIFTY,11-Jun-2024,29-Aug-2024,23500.95,23677.85,23470.00,23558.05,23550.10,23558.05,5911.00,34858.13,376725.00,23000.00,23264.85
NIFTY,10-Jun-2024,25-Jul-2024,23500.00,23530.00,23351.60,23382.85,23372.85,23382.85,28863.00,169195.42,1182725.00,76750.00,23259.20
NIFTY,10-Jun-2024,27-Jun-2024,23301.00,23410.00,23223.00,23247.15,23230.00,23247.15,310009.00,1807324.37,12253500.00,-859325.00,23259.20
NIFTY,10-Jun-2024,29-Aug-2024,23500.35,23642.20,23471.00,23490.30,23480.00,23490.30,7773.00,45783.80,353725.00,18775.00,23259.20
NIFTY,07-Jun-2024,25-Jul-2024,23017.40,23458.00,22980.40,23444.60,23453.20,23444.60,45510.00,264908.64,1105975.00,117175.00,-
NIFTY,07-Jun-2024,29-Aug-2024,23169.85,23570.00,23112.45,23548.30,23570.00,23548.30,13737.00,80384.79,334950.00,99300.00,-
NIFTY,07-Jun-2024,27-Jun-2024,22900.50,23341.50,22852.10,23325.15,23334.15,23325.15,517101.00,2993829.15,13112825.00,-335925.00,-
NIFTY,06-Jun-2024,27-Jun-2024,22730.05,22974.00,22692.05,22899.50,22933.00,22899.50,613773.00,3504663.88,13448750.00,535725.00,-
NIFTY,06-Jun-2024,25-Jul-2024,22850.00,23105.00,22830.00,23033.10,23060.00,23033.10,42290.00,242891.11,988800.00,58425.00,-
