strategy,n_trades,win_rate,iv_direction_accuracy,final_capital,total_pnl,total_return_pct
data_driven,135,0.3037037037037037,0.6296296296296297,-215741.2500000006,-315741.2500000006,-315.74125000000055
manual_agree,78,0.19230769230769232,0.7435897435897436,-143962.5000000002,-243962.5000000002,-243.9625000000002
manual_disagree,33,0.30303030303030304,0.7272727272727273,-20256.250000000284,-120256.25000000029,-120.25625000000029
