Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Mar-2021,27-May-2021,14909.95,14919.75,14780.00,14802.45,14815.00,14802.45,3594.00,39993.36,1140225.00,-17550.00,-
NIFTY,31-Mar-2021,29-Apr-2021,14871.05,14876.00,14720.70,14752.30,14762.50,14752.30,150225.00,1666624.02,11385450.00,219300.00,-
NIFTY,31-Mar-2021,24-Jun-2021,14940.10,14940.10,14800.00,14819.65,14830.30,14819.65,634.00,7065.30,111825.00,-600.00,-
NIFTY,30-Mar-2021,24-Jun-2021,14737.00,15005.00,14737.00,14971.35,14976.00,14971.35,1398.00,15656.02,112425.00,36600.00,-
NIFTY,30-Mar-2021,27-May-2021,14749.95,14985.00,14749.95,14956.45,14959.50,14956.45,6172.00,68900.44,1157775.00,101700.00,-
NIFTY,30-Mar-2021,29-Apr-2021,14700.00,14949.00,14687.00,14913.55,14917.00,14913.55,192263.00,2140428.60,11166150.00,2042850.00,-
NIFTY,26-Mar-2021,27-May-2021,14557.55,14715.00,14550.00,14659.90,14665.00,14659.90,6831.00,74997.44,1056075.00,154350.00,-
NIFTY,26-Mar-2021,24-Jun-2021,14627.75,14733.70,14575.90,14688.60,14691.15,14688.60,1432.00,15761.59,75825.00,75825.00,-
NIFTY,26-Mar-2021,29-Apr-2021,14555.00,14675.00,14501.00,14608.50,14622.20,14608.50,154879.00,1695331.41,9123300.00,190575.00,-
NIFTY,25-Mar-2021,27-May-2021,14625.10,14710.10,14400.00,14483.10,14495.00,14483.10,11452.00,124677.13,901725.00,78525.00,-
NIFTY,25-Mar-2021,29-Apr-2021,14611.05,14639.75,14346.25,14435.55,14447.00,14435.55,160069.00,1737289.93,8932725.00,1872375.00,-
NIFTY,25-Mar-2021,25-Mar-2021,14560.00,14560.00,14261.25,14334.10,14324.50,14324.90,177141.00,1910794.08,2207175.00,-2296275.00,-
NIFTY,25-Mar-2021,24-Jun-2021,-,-,-,-,-,-,-,-,-,-,-
NIFTY,24-Mar-2021,27-May-2021,14870.10,14930.10,14681.00,14696.50,14712.00,14696.50,4462.00,49413.26,823200.00,54675.00,14549.40
NIFTY,24-Mar-2021,29-Apr-2021,14828.05,14850.90,14630.00,14648.50,14664.75,14648.50,93816.00,1036127.68,7060350.00,1192500.00,14549.40
NIFTY,24-Mar-2021,25-Mar-2021,14733.75,14762.70,14535.00,14555.30,14568.00,14555.30,164585.00,1807152.36,4503450.00,-1302675.00,14549.40
NIFTY,23-Mar-2021,25-Mar-2021,14752.10,14900.00,14713.55,14832.90,14827.00,14832.90,189195.00,2101865.96,5806125.00,-2190825.00,-
